latitude,longitude
45.722420900,-75.669166700
45.721865300,-75.639187600
45.720200100,-75.609294100
45.717430300,-75.579571400
45.713564100,-75.550104200
45.708612900,-75.520976300
45.702591300,-75.492270300
45.695516900,-75.464067500
45.687410700,-75.436447300
45.678296200,-75.409487300
45.668200000,-75.383262900
45.657151500,-75.357846900
45.645182700,-75.333309700
45.632328000,-75.309718600
45.618624400,-75.287138400
45.604110800,-75.265630100
45.588828800,-75.245251600
45.572821300,-75.226057500
45.556133600,-75.208098700
45.538812300,-75.191422400
45.520905800,-75.176072100
45.502463800,-75.162087300
45.483537100,-75.149503900
45.464178000,-75.138353600
45.444439300,-75.128664300
45.424375000,-75.120459700
45.404039500,-75.113759700
45.383488200,-75.108580100
45.362776500,-75.104932600
45.341960100,-75.102824900
45.321095400,-75.102260800
45.300238200,-75.103240100
45.279444600,-75.105758400
45.258770300,-75.109807600
45.238270900,-75.115375600
45.218001300,-75.122446400
45.198015900,-75.131000200
45.178368500,-75.141013300
45.159112000,-75.152458400
45.140298200,-75.165304400
45.121978000,-75.179516600
45.104201100,-75.195056800
45.087015600,-75.211883300
45.070468400,-75.229950800
45.054604800,-75.249211000
45.039468100,-75.269612200
45.025100200,-75.291099600
45.011540400,-75.313615500
44.998826500,-75.337099300
44.986993800,-75.361487700
44.976075300,-75.386714900
44.966101400,-75.412712600
44.957100300,-75.439410300
44.949097100,-75.466735800
44.942114500,-75.494614400
44.936172300,-75.522970500
44.931287300,-75.551726500
44.927473400,-75.580804100
44.924741300,-75.610123500
44.923099000,-75.639604600
44.922551000,-75.669166700
44.923099000,-75.698728700
44.924741300,-75.728209900
44.927473400,-75.757529300
44.931287300,-75.786606800
44.936172300,-75.815362800
44.942114500,-75.843718900
44.949097100,-75.871597600
44.957100200,-75.898923000
44.966101400,-75.925620800
44.976075300,-75.951618500
44.986993800,-75.976845600
44.998826600,-76.001234100
45.011540400,-76.024717900
45.025100100,-76.047233800
45.039468200,-76.068721200
45.054604800,-76.089122300
45.070468400,-76.108382500
45.087015600,-76.126450100
45.104201000,-76.143276500
45.121978000,-76.158816700
45.140298200,-76.173028900
45.159112000,-76.185874900
45.178368600,-76.197320000
45.198015900,-76.207333100
45.218001300,-76.215886900
45.238270900,-76.222957700
45.258770300,-76.228525700
45.279444600,-76.232574900
45.300238200,-76.235093200
45.321095400,-76.236072500
45.341960100,-76.235508400
45.362776500,-76.233400800
45.383488200,-76.229753300
45.404039500,-76.224573700
45.424375000,-76.217873700
45.444439300,-76.209669100
45.464178000,-76.199979700
45.483537100,-76.188829400
45.502463800,-76.176246000
45.520905800,-76.162261300
45.538812300,-76.146910900
45.556133600,-76.130234600
45.572821300,-76.112275800
45.588828800,-76.093081700
45.604110900,-76.072703300
45.618624300,-76.051194900
45.632328000,-76.028614700
45.645182700,-76.005023600
45.657151500,-75.980486500
45.668200000,-75.955070400
45.678296100,-75.928846000
45.687410700,-75.901886000
45.695517000,-75.874265800
45.702591300,-75.846063000
45.708612900,-75.817357100
45.713564100,-75.788229100
45.717430300,-75.758761900
45.720200100,-75.729039200
45.721865300,-75.699145700
