latitude,longitude
45/43/15,-075/32/57
45/43/12,-075/32/03
45/43/07,-075/31/09
45/43/00,-075/30/16
45/42/52,-075/29/24
45/42/41,-075/28/32
45/42/28,-075/27/41
45/42/14,-075/26/51
45/41/57,-075/26/03
45/41/39,-075/25/16
45/41/19,-075/24/30
45/40/58,-075/23/46
45/40/35,-075/23/03
45/40/10,-075/22/22
45/39/44,-075/21/43
45/39/17,-075/21/07
45/38/48,-075/20/32
45/38/18,-075/19/59
45/37/47,-075/19/29
45/37/15,-075/19/01
45/36/41,-075/18/36
45/36/07,-075/18/13
45/35/33,-075/17/53
45/34/57,-075/17/35
45/34/21,-075/17/20
45/33/44,-075/17/08
45/33/08,-075/16/58
45/32/30,-075/16/52
45/31/53,-075/16/48
45/31/15,-075/16/46
45/30/38,-075/16/48
45/30/00,-075/16/52
45/29/41,-075/16/56
45/22/19,-075/20/26
45/14/41,-075/24/32
45/14/08,-075/24/55
45/13/35,-075/25/21
45/13/02,-075/25/48
45/12/31,-075/26/19
45/12/02,-075/26/51
45/11/33,-075/27/26
45/11/06,-075/28/02
45/10/40,-075/28/41
45/10/15,-075/29/22
45/09/52,-075/30/04
45/09/31,-075/30/48
45/09/11,-075/31/34
45/08/53,-075/32/20
45/08/37,-075/33/09
45/08/23,-075/33/58
45/08/10,-075/34/48
45/07/59,-075/35/39
45/07/50,-075/36/31
45/07/44,-075/37/24
45/07/39,-075/38/17
45/07/36,-075/39/10
45/07/35,-075/40/04
45/07/36,-075/40/57
45/07/39,-075/41/50
45/07/44,-075/42/43
45/07/50,-075/43/36
45/07/59,-075/44/28
45/08/10,-075/45/19
45/08/23,-075/46/09
45/08/37,-075/46/58
45/08/53,-075/47/47
45/09/11,-075/48/33
45/09/31,-075/49/19
45/09/52,-075/50/03
45/10/15,-075/50/45
45/10/40,-075/51/26
45/11/06,-075/52/05
45/11/33,-075/52/41
45/12/02,-075/53/16
45/12/31,-075/53/48
45/13/02,-075/54/19
45/13/35,-075/54/46
45/14/08,-075/55/12
45/14/41,-075/55/35
45/15/16,-075/55/55
45/15/52,-075/56/13
45/16/28,-075/56/29
45/17/04,-075/56/41
45/17/41,-075/56/51
45/18/18,-075/56/58
45/19/27,-075/56/59
45/26/30,-075/53/49
45/35/33,-075/49/48
45/36/07,-075/49/28
45/36/41,-075/49/05
45/37/15,-075/48/40
45/37/47,-075/48/12
45/38/18,-075/47/42
45/38/48,-075/47/09
45/39/17,-075/46/34
45/39/44,-075/45/58
45/40/10,-075/45/19
45/40/35,-075/44/38
45/40/58,-075/43/55
45/41/19,-075/43/11
45/41/39,-075/42/25
45/41/57,-075/41/38
45/42/14,-075/40/50
45/42/28,-075/40/00
45/42/41,-075/39/09
45/42/52,-075/38/17
45/43/00,-075/37/25
45/43/07,-075/36/32
45/43/12,-075/35/38
45/43/15,-075/34/44
45/43/16,-075/33/51
