latitude,longitude
54.161067061,-6.761329640
53.916714845,-5.500648488
53.520412900,-5.498954000
53.506310100,-5.489351800
53.491929400,-5.481006100
53.477309900,-5.473937600
53.462491700,-5.468163800
53.447515200,-5.463698700
53.432420900,-5.460552600
53.417249900,-5.458732300
53.402043200,-5.458241200
53.386841700,-5.459079200
53.371686700,-5.461242600
53.356619100,-5.464724400
53.341679500,-5.469514000
53.326908000,-5.475597500
53.312344600,-5.482957600
53.298028600,-5.491573800
53.283998700,-5.501422200
52.333073347,-5.500648488
52.614555848,-6.618507374
53.090560313,-7.333305348
53.752608525,-7.333991994
