latitude,longitude,elevation
53.438029400,-6.270000000,68.9
53.438006500,-6.268538000,66.4
53.437937800,-6.267080100,65.8
53.437823500,-6.265630300,63.2
53.437664000,-6.264192700,67.0
53.437459600,-6.262771200,65.1
53.437211100,-6.261369800,61.1
53.436919000,-6.259992400,64.9
53.436584200,-6.258642700,60.7
53.436207800,-6.257324700,61.9
53.435790600,-6.256041700,59.7
53.435334000,-6.254797300,62.6
53.434839100,-6.253595100,61.9
53.434307500,-6.252438200,58.2
53.433740500,-6.251329800,56.9
53.433139900,-6.250273000,59.3
53.432507100,-6.249270500,56.0
53.431844000,-6.248325000,55.3
53.431152500,-6.247439200,63.7
53.430434400,-6.246615400,63.5
53.429691800,-6.245855800,68.2
53.428926700,-6.245162400,67.7
53.428141000,-6.244537000,69.6
53.427337000,-6.243981400,80.7
53.426517100,-6.243496900,75.8
53.425683200,-6.243084900,68.4
53.424837700,-6.242746500,53.4
53.423982800,-6.242482400,55.4
53.423121000,-6.242293500,64.5
53.422254400,-6.242180200,55.5
53.421385600,-6.242142700,61.7
53.420516800,-6.242181300,57.1
53.419650400,-6.242295700,53.1
53.418788600,-6.242485800,56.4
53.417933900,-6.242750900,55.4
53.417088500,-6.243090400,54.9
53.416254800,-6.243503300,54.7
53.415435100,-6.243988600,56.2
53.414631300,-6.244545100,57.0
53.413846000,-6.245171200,55.4
53.413081000,-6.245865200,53.9
53.412338700,-6.246625400,55.6
53.411621000,-6.247449600,56.0
53.410929800,-6.248335700,56.0
53.410267100,-6.249281300,58.0
53.409634700,-6.250283800,56.0
53.409034300,-6.251340600,58.0
53.408467700,-6.252448800,56.2
53.407936400,-6.253605400,55.0
53.407441800,-6.254807300,55.8
53.406985500,-6.256051100,55.9
53.406568600,-6.257333500,58.6
53.406192400,-6.258650800,57.0
53.405857900,-6.259999700,57.9
53.405566000,-6.261376200,59.0
53.405317700,-6.262776600,60.0
53.405113500,-6.264197100,59.6
53.404954000,-6.265633700,61.6
53.404839800,-6.267082400,61.0
53.404771200,-6.268539200,59.0
53.404748300,-6.270000000,66.0
53.404771200,-6.271460800,67.0
53.404839800,-6.272917600,67.1
53.404954000,-6.274366300,69.0
53.405113500,-6.275802900,68.0
53.405317700,-6.277223400,68.0
53.405566000,-6.278623800,71.0
53.405857900,-6.280000300,71.0
53.406192400,-6.281349200,71.9
53.406568600,-6.282666500,73.4
53.406985500,-6.283948900,73.9
53.407441800,-6.285192700,72.8
53.407936400,-6.286394600,73.0
53.408467700,-6.287551200,74.0
53.409034300,-6.288659400,73.0
53.409634700,-6.289716200,73.7
53.410267100,-6.290718700,74.6
53.410929800,-6.291664300,74.0
53.411621000,-6.292550400,73.8
53.412338700,-6.293374600,74.9
53.413081000,-6.294134800,74.8
53.413846000,-6.294828800,73.2
53.414631300,-6.295454900,74.0
53.415435100,-6.296011400,73.0
53.416254800,-6.296496700,74.0
53.417088500,-6.296909600,75.6
53.417933900,-6.297249100,75.4
53.418788600,-6.297514200,75.0
53.419650400,-6.297704300,74.2
53.420516800,-6.297818700,72.3
53.421385600,-6.297857300,73.3
53.422254400,-6.297819800,75.0
53.423121000,-6.297706500,77.0
53.423982800,-6.297517600,76.0
53.424837700,-6.297253500,76.9
53.425683200,-6.296915100,78.5
53.426517100,-6.296503100,78.5
53.427337000,-6.296018600,77.6
53.428141000,-6.295463000,76.3
53.428926700,-6.294837600,74.9
53.429691800,-6.294144200,74.8
53.430434400,-6.293384600,72.2
53.431152500,-6.292560800,73.9
53.431844000,-6.291675000,73.4
53.432507100,-6.290729500,71.4
53.433139900,-6.289727000,71.7
53.433740500,-6.288670200,70.5
53.434307500,-6.287561800,71.0
53.434839100,-6.286404900,70.0
53.435334000,-6.285202700,72.2
53.435790600,-6.283958300,71.8
53.436207800,-6.282675300,73.0
53.436584200,-6.281357300,70.9
53.436919000,-6.280007600,70.1
53.437211100,-6.278630200,70.0
53.437459600,-6.277228800,71.0
53.437664000,-6.275807300,69.4
53.437823500,-6.274369700,70.8
53.437937800,-6.272919900,69.5
53.438006500,-6.271462000,68.0
53.438029400,-6.270000000,68.9
53.454670000,-6.270000000,57.2
53.454624100,-6.267074900,63.0
53.454486600,-6.264157900,64.7
53.454258000,-6.261257200,60.2
53.453938800,-6.258380900,58.2
53.453529900,-6.255537000,55.2
53.453032600,-6.252733200,55.1
53.452448200,-6.249977500,53.9
53.451778500,-6.247277400,52.2
53.451025200,-6.244640500,52.0
53.450190600,-6.242073900,52.3
53.449277100,-6.239584800,50.3
53.448287100,-6.237179900,51.2
53.447223500,-6.234865800,48.0
53.446089300,-6.232648900,50.1
53.444887500,-6.230535100,49.0
53.443621700,-6.228530100,46.7
53.442295300,-6.226639500,47.0
53.440911900,-6.224868100,43.0
53.439475400,-6.223220900,37.1
53.437989900,-6.221702200,37.6
53.436459200,-6.220316000,41.1
53.434887700,-6.219066000,42.7
53.433279600,-6.217955500,42.6
53.431639300,-6.216987500,42.0
53.429971400,-6.216164400,43.9
53.428280200,-6.215488500,42.6
53.426570400,-6.214961500,43.0
53.424846600,-6.214584700,45.1
53.423113600,-6.214359200,48.0
53.421375900,-6.214285500,46.0
53.419638300,-6.214363700,46.3
53.417905500,-6.214593700,48.5
53.416182100,-6.214974900,46.0
53.414472800,-6.215506200,45.1
53.412782100,-6.216186100,46.0
53.411114900,-6.217013000,43.0
53.409475500,-6.217984600,47.1
53.407868300,-6.219098300,46.4
53.406297900,-6.220351100,47.0
53.404768300,-6.221739800,53.7
53.403284000,-6.223260600,49.0
53.401848800,-6.224909500,44.7
53.400466700,-6.226682000,40.7
53.399141600,-6.228573400,45.1
53.397877100,-6.230578500,47.4
53.396676800,-6.232692100,48.0
53.395543900,-6.234908300,51.0
53.394481600,-6.237221300,51.0
53.393492800,-6.239624500,51.4
53.392580500,-6.242111600,55.7
53.391747000,-6.244675700,54.1
53.390994900,-6.247309800,54.6
53.390326000,-6.250006700,51.1
53.389742500,-6.252758800,50.1
53.389246000,-6.255558700,49.0
53.388837700,-6.258398600,48.4
53.388519000,-6.261270700,50.7
53.388290700,-6.264167000,53.2
53.388153400,-6.267079400,53.5
53.388107600,-6.270000000,55.0
53.388153400,-6.272920600,58.9
53.388290700,-6.275833000,60.7
53.388519000,-6.278729300,58.3
53.388837700,-6.281601400,60.6
53.389246000,-6.284441300,61.0
53.389742500,-6.287241200,60.0
53.390326000,-6.289993300,59.2
53.390994900,-6.292690200,61.4
53.391747000,-6.295324300,62.0
53.392580500,-6.297888400,65.6
53.393492800,-6.300375500,67.0
53.394481600,-6.302778700,66.0
53.395543900,-6.305091700,62.0
53.396676800,-6.307307900,63.4
53.397877100,-6.309421500,67.4
53.399141600,-6.311426600,70.1
53.400466700,-6.313318000,69.7
53.401848800,-6.315090500,75.7
53.403284000,-6.316739400,80.2
53.404768300,-6.318260200,79.2
53.406297900,-6.319648900,78.4
53.407868300,-6.320901700,79.0
53.409475500,-6.322015400,79.3
53.411114900,-6.322987000,79.2
53.412782100,-6.323813900,78.0
53.414472800,-6.324493800,78.0
53.416182100,-6.325025100,75.9
53.417905500,-6.325406300,76.0
53.419638300,-6.325636300,77.0
53.421375900,-6.325714500,78.0
53.423113600,-6.325640800,78.8
53.424846600,-6.325415300,77.0
53.426570400,-6.325038500,75.0
53.428280200,-6.324511500,77.8
53.429971400,-6.323835600,82.0
53.431639300,-6.323012500,83.7
53.433279600,-6.322044500,79.2
53.434887700,-6.320934000,79.7
53.436459200,-6.319684000,78.0
53.437989900,-6.318297800,78.0
53.439475400,-6.316779100,77.0
53.440911900,-6.315131900,76.5
53.442295300,-6.313360500,76.7
53.443621700,-6.311469900,76.0
53.444887500,-6.309464900,73.1
53.446089300,-6.307351100,70.0
53.447223500,-6.305134200,66.5
53.448287100,-6.302820100,63.3
53.449277100,-6.300415200,61.7
53.450190600,-6.297926100,57.7
53.451025200,-6.295359500,60.6
53.451778500,-6.292722600,61.0
53.452448200,-6.290022500,62.0
53.453032600,-6.287266800,60.0
53.453529900,-6.284463000,59.0
53.453938800,-6.281619100,58.8
53.454258000,-6.278742800,58.7
53.454486600,-6.275842100,57.7
53.454624100,-6.272925100,56.4
53.454670000,-6.270000000,57.2
53.471310400,-6.270000000,60.3
53.471241600,-6.265610600,55.2
53.471035300,-6.261233500,43.4
53.470692200,-6.256880800,37.5
53.470213200,-6.252564700,33.0
53.469599700,-6.248297200,29.1
53.468853400,-6.244090100,25.9
53.467976600,-6.239955200,28.0
53.466971600,-6.235904000,26.0
53.465841300,-6.231947500,26.0
53.464589000,-6.228096700,22.0
53.463218200,-6.224362200,15.4
53.461732700,-6.220754200,15.5
53.460136800,-6.217282700,17.8
53.458435000,-6.213957000,17.2
53.456631900,-6.210786200,19.2
53.454732700,-6.207779000,22.0
53.452742500,-6.204943200,24.0
53.450667000,-6.202286700,25.5
53.448511800,-6.199816500,20.6
53.446283000,-6.197539200,19.8
53.443986600,-6.195460800,21.6
53.441628900,-6.193586900,21.9
53.439216400,-6.191922400,22.7
53.436755700,-6.190471700,10.0
53.434253500,-6.189238500,-7.3
53.431716500,-6.188226200,28.0
53.429151600,-6.187437200,25.9
53.426565900,-6.186873700,22.0
53.423966200,-6.186537100,24.0
53.421359700,-6.186428200,32.1
53.418753300,-6.186547300,34.5
53.416154100,-6.186894000,35.0
53.413569100,-6.187467400,32.8
53.411005300,-6.188265900,36.1
53.408469700,-6.189287400,30.5
53.405969000,-6.190529100,32.0
53.403510300,-6.191987800,34.6
53.401100000,-6.193659500,34.0
53.398744600,-6.195539900,33.5
53.396450800,-6.197623800,35.0
53.394224600,-6.199905800,33.5
53.392072300,-6.202379700,33.7
53.389999800,-6.205038900,36.0
