latitude,longitude
53.200539300,-8.881197600
53.198454900,-8.837704100
53.194987700,-8.794461200
53.190148000,-8.751592900
53.183950000,-8.709222300
53.176412100,-8.667470600
53.167556200,-8.626456700
53.157408600,-8.586297400
53.145998800,-8.547106000
53.133360100,-8.508993200
53.119529300,-8.472065700
53.104546400,-8.436426200
53.088454900,-8.402173600
53.071300900,-8.369402000
53.053133600,-8.338200800
53.034004900,-8.308654600
53.013969000,-8.280842400
52.993082900,-8.254838400
52.971405000,-8.230710900
52.948996500,-8.208522900
52.925919800,-8.188331300
52.902239000,-8.170187400
52.878019800,-8.154136600
52.853329000,-8.140218300
52.828234300,-8.128465800
52.802804600,-8.118906600
52.777109300,-8.111562200
52.751218200,-8.106448000
52.725201700,-8.103573300
52.699130200,-8.102941800
52.673074000,-8.104551000
52.647103500,-8.108392700
52.621288700,-8.114452800
52.595698900,-8.122711700
52.570403000,-8.133143800
52.545468900,-8.145718400
52.520963600,-8.160398900
52.496953100,-8.177143600
52.473501600,-8.195905600
52.450672600,-8.216632500
52.428527300,-8.239267200
52.407125500,-8.263747900
52.386524900,-8.290007700
52.366781300,-8.317975200
52.347948200,-8.347574700
52.330076600,-8.378726400
52.313215100,-8.411346200
52.297409700,-8.445346400
52.282703500,-8.480635400
52.269136900,-8.517118400
52.256746800,-8.554697500
52.245567300,-8.593271600
52.235629400,-8.632737000
52.226960100,-8.672987900
52.219583700,-8.713916100
52.213520300,-8.755411400
52.208786900,-8.797362300
52.205396400,-8.839656200
52.203358400,-8.882179100
52.202678400,-8.924816700
52.203358400,-8.967454300
52.205396400,-9.009977200
52.208786900,-9.052271000
52.213520300,-9.094222000
52.219583700,-9.135717300
52.226960100,-9.176645400
52.235629300,-9.216896300
52.245567400,-9.256361800
52.256746800,-9.294935900
52.269136800,-9.332514900
52.282703600,-9.368997900
52.297409700,-9.404287000
52.313215100,-9.438287100
52.330076600,-9.470907000
52.347948200,-9.502058600
52.366781300,-9.531658200
52.386524900,-9.559625700
52.407125400,-9.585885400
52.428527300,-9.610366100
52.450672600,-9.633000900
52.473501700,-9.653727800
52.496953100,-9.672489700
52.520963600,-9.689234400
52.545468900,-9.703914900
52.570403000,-9.716489500
52.595698900,-9.726921700
52.621288700,-9.735180500
52.647103500,-9.741240700
52.673074000,-9.745082400
52.699130200,-9.746691500
52.725201700,-9.746060000
52.751218200,-9.743185400
52.777109300,-9.738071100
52.802804600,-9.730726700
52.828234300,-9.721167500
52.853329000,-9.709415100
52.878019800,-9.695496700
52.902239000,-9.679445900
52.925919800,-9.661302000
52.948996500,-9.641110400
52.971405000,-9.618922400
52.993082900,-9.594794900
53.013969000,-9.568791000
53.034004900,-9.540978800
53.053133600,-9.511432500
53.071300900,-9.480231300
53.088454900,-9.447459700
53.104546400,-9.413207200
53.119529300,-9.377567700
53.133360000,-9.340640200
53.145998800,-9.302527300
53.157408600,-9.263336000
53.167556200,-9.223176700
53.176412100,-9.182162800
53.183950000,-9.140411000
53.190148000,-9.098040400
53.194987700,-9.055172200
53.198454900,-9.011929300
53.200539300,-8.968435700
53.201234800,-8.924816700
