latitude,longitude,elevation
52.718621100,-8.924812300,16.0
52.718598200,-8.923374400,23.5
52.718529500,-8.921940500,28.4
52.718415100,-8.920514500,22.6
52.718255500,-8.919100500,17.5
52.718051100,-8.917702500,11.7
52.717802500,-8.916324200,8.9
52.717510400,-8.914969400,11.0
52.717175500,-8.913642100,10.1
52.716799000,-8.912345700,7.9
52.716381700,-8.911083900,9.0
52.715925000,-8.909860100,7.0
52.715430000,-8.908677700,12.1
52.714898300,-8.907540000,8.6
52.714331300,-8.906450000,7.6
52.713730500,-8.905410500,6.4
52.713097700,-8.904424700,5.8
52.712434500,-8.903494900,3.6
52.711742900,-8.902623800,1.7
52.711024700,-8.901813600,1.0
52.710282000,-8.901066600,1.0
52.709516800,-8.900384800,2.0
52.708731100,-8.899769800,2.1
52.707927100,-8.899223400,2.5
52.707107000,-8.898747000,1.4
52.706273100,-8.898341900,0.0
52.705427500,-8.898009000,2.5
52.704572600,-8.897749400,1.5
52.703710800,-8.897563600,2.0
52.702844300,-8.897452100,4.3
52.701975300,-8.897415300,3.6
52.701106500,-8.897453200,8.6
52.700240000,-8.897565700,9.3
52.699378300,-8.897752600,10.8
52.698523500,-8.898013200,9.8
52.697678000,-8.898347100,8.9
52.696844300,-8.898753100,2.6
52.696024500,-8.899230300,1.0
52.695220700,-8.899777500,3.0
52.694435300,-8.900393100,1.0
52.693670200,-8.901075700,0.8
52.692927800,-8.901823200,0.1
52.692210000,-8.902633700,0.0
52.691518700,-8.903505100,0.7
52.690855900,-8.904435000,8.2
52.690223300,-8.905421000,0.0
52.689622900,-8.906460300,0.0
52.689056200,-8.907550200,0.0
52.688524800,-8.908687600,0.0
52.688030100,-8.909869600,0.0
52.687573700,-8.911092900,0.0
52.687156800,-8.912354100,2.7
52.686780400,-8.913649800,0.0
52.686445800,-8.914976400,0.0
52.686153900,-8.916330200,0.0
52.685905400,-8.917707700,0.0
52.685701200,-8.919104800,0.0
52.685541700,-8.920517700,0.0
52.685427500,-8.921942600,0.5
52.685358800,-8.923375500,0.0
52.685335900,-8.924812300,1.0
52.685358800,-8.926249200,0.0
52.685427500,-8.927682000,0.0
52.685541700,-8.929106900,0.0
52.685701200,-8.930519800,0.0
52.685905400,-8.931916900,0.0
52.686153900,-8.933294400,0.0
52.686445800,-8.934648200,0.6
52.686780400,-8.935974800,0.0
52.687156800,-8.937270500,0.0
52.687573700,-8.938531700,0.6
52.688030100,-8.939755000,1.0
52.688524800,-8.940937000,0.7
52.689056200,-8.942074400,2.6
52.689622900,-8.943164300,1.6
52.690223400,-8.944203600,8.7
52.690855900,-8.945189600,11.1
52.691518700,-8.946119500,12.5
52.692210000,-8.946990900,13.0
52.692927800,-8.947801400,9.9
52.693670200,-8.948548900,8.4
52.694435300,-8.949231500,6.8
52.695220700,-8.949847100,5.2
52.696024500,-8.950394300,6.4
52.696844300,-8.950871500,7.1
52.697678000,-8.951277500,10.6
52.698523500,-8.951611400,10.9
52.699378300,-8.951872100,5.7
52.700240000,-8.952058900,0.1
52.701106500,-8.952171400,0.0
52.701975300,-8.952209300,2.0
52.702844300,-8.952172500,1.0
52.703710800,-8.952061100,1.4
52.704572600,-8.951875300,0.7
52.705427500,-8.951615600,1.0
52.706273100,-8.951282800,4.7
52.707107000,-8.950877600,13.6
52.707927100,-8.950401200,13.7
52.708731100,-8.949854800,3.5
52.709516800,-8.949239800,0.3
52.710282000,-8.948558000,0.2
52.711024700,-8.947811000,1.0
52.711742900,-8.947000800,0.7
52.712434500,-8.946129700,1.0
52.713097700,-8.945199900,0.8
52.713730500,-8.944214100,1.0
52.714331300,-8.943174600,0.0
52.714898300,-8.942084600,0.0
52.715430000,-8.940946900,0.5
52.715925000,-8.939764500,0.3
52.716381700,-8.938540800,1.2
52.716798900,-8.937278900,4.3
52.717175500,-8.935982500,1.8
52.717510400,-8.934655200,3.0
52.717802500,-8.933300400,3.0
52.718051100,-8.931922200,6.1
52.718255500,-8.930524100,9.8
52.718415100,-8.929110100,12.9
52.718529500,-8.927684100,13.3
52.718598200,-8.926250200,12.5
52.718621100,-8.924812300,16.0
52.735263600,-8.924812300,23.3
52.735217800,-8.921935300,15.0
52.735080300,-8.919066400,6.6
52.734851500,-8.916213500,16.6
52.734532300,-8.913384600,18.5
52.734123300,-8.910587400,26.3
52.733625900,-8.907829800,26.9
52.733041300,-8.905119600,19.3
52.732371400,-8.902464000,17.1
52.731618000,-8.899870600,24.2
52.730783300,-8.897346400,24.8
52.729869500,-8.894898400,18.5
52.728879300,-8.892533200,15.0
52.727815500,-8.890257400,11.0
52.726681100,-8.888077100,10.0
52.725479200,-8.885998400,17.1
52.724213200,-8.884026700,18.3
52.722886600,-8.882167300,9.4
52.721503100,-8.880425400,8.6
52.720066500,-8.878805500,8.2
52.718580700,-8.877312000,7.1
52.717049900,-8.875948800,8.4
52.715478300,-8.874719600,7.7
52.713870200,-8.873627600,3.0
52.712229800,-8.872675600,1.0
52.710561700,-8.871866200,24.7
52.708870500,-8.871201500,30.3
52.707160600,-8.870683200,4.2
52.705436700,-8.870312700,0.6
52.703703600,-8.870090800,2.3
52.701965800,-8.870018300,2.0
52.700228200,-8.870095200,4.0
52.698495200,-8.870321300,2.4
52.696771700,-8.870696000,2.5
52.695062400,-8.871218400,3.5
52.693371700,-8.871887000,0.0
52.691704300,-8.872700100,0.0
52.690064800,-8.873655400,0.0
52.688457500,-8.874750500,0.0
52.686886900,-8.875982400,0.0
52.685357200,-8.877348000,0.0
52.683872700,-8.878843500,0.0
52.682437300,-8.880465000,0.0
52.681055000,-8.882208100,0.0
52.679729700,-8.884068100,0.0
52.678465000,-8.886040100,0.0
52.677264400,-8.888118600,0.0
52.676131300,-8.890298200,0.0
52.675068800,-8.892572900,0.0
52.674079900,-8.894936400,0.0
52.673167300,-8.897382500,0.0
52.672333600,-8.899904400,0.0
52.671581300,-8.902495000,0.0
52.670912300,-8.905147500,0.0
52.670328600,-8.907854400,0.0
52.669831900,-8.910608300,0.0
52.669423500,-8.913401500,0.0
52.669104700,-8.916226400,0.0
52.668876300,-8.919075000,0.0
52.668739000,-8.921939700,0.0
52.668693200,-8.924812300,0.0
52.668739000,-8.927684900,0.0
52.668876300,-8.930549600,0.0
52.669104700,-8.933398200,0.0
52.669423500,-8.936223100,0.0
52.669831900,-8.939016300,0.0
52.670328600,-8.941770200,0.0
52.670912300,-8.944477100,0.0
52.671581300,-8.947129600,0.0
52.672333600,-8.949720200,0.0
52.673167300,-8.952242100,0.0
52.674079900,-8.954688200,0.0
52.675068800,-8.957051700,0.0
52.676131300,-8.959326400,0.0
52.677264400,-8.961506000,0.0
52.678465000,-8.963584600,0.0
52.679729700,-8.965556500,0.0
52.681055000,-8.967416500,0.0
52.682437300,-8.969159600,0.0
52.683872700,-8.970781100,0.0
52.685357200,-8.972276600,0.0
52.686887000,-8.973642200,0.0
52.688457500,-8.974874100,0.0
52.690064800,-8.975969200,0.0
52.691704300,-8.976924600,0.0
52.693371700,-8.977737600,0.0
52.695062300,-8.978406200,0.0
52.696771800,-8.978928600,0.0
52.698495200,-8.979303300,0.0
52.700228200,-8.979529400,0.0
52.701965800,-8.979606300,0.0
52.703703600,-8.979533800,0.0
52.705436700,-8.979312000,0.6
52.707160600,-8.978941400,1.8
52.708870500,-8.978423100,3.6
52.710561700,-8.977758400,1.0
52.712229800,-8.976949000,0.0
52.713870200,-8.975997000,0.0
52.715478300,-8.974905100,0.0
52.717049900,-8.973675800,0.0
52.718580800,-8.972312600,0.0
