latitude,longitude,elevation
35.055610600,-106.608306900,1622.9
35.055587500,-106.607239600,1622.9
35.055518300,-106.606175400,1622.7
35.055403200,-106.605117100,1622.4
35.055242500,-106.604067800,1622.4
35.055036800,-106.603030500,1622.1
35.054786500,-106.602007900,1622.4
35.054492500,-106.601003100,1622.3
35.054155700,-106.600018700,1622.1
35.053776900,-106.599057600,1622.1
35.053357300,-106.598122300,1622.2
35.052898200,-106.597215400,1622.4
35.052400700,-106.596339400,1623.0
35.051866500,-106.595496800,1623.5
35.051297000,-106.594689700,1623.4
35.050693700,-106.593920300,1623.3
35.050058400,-106.593190800,1622.9
35.049393000,-106.592503000,1622.4
35.048699200,-106.591858700,1622.5
35.047979000,-106.591259800,1623.0
35.047234300,-106.590707600,1623.3
35.046467300,-106.590203700,1623.6
35.045680000,-106.589749300,1624.1
35.044874600,-106.589345700,1624.2
35.044053100,-106.588993800,1624.2
35.043217900,-106.588694500,1624.1
35.042371300,-106.588448700,1623.6
35.041515400,-106.588256900,1622.7
35.040652600,-106.588119600,1618.6
35.039785200,-106.588037200,1615.3
35.038915400,-106.588009900,1611.8
35.038045700,-106.588037600,1609.2
35.037178200,-106.588120500,1606.7
35.036315500,-106.588258200,1603.5
35.035459600,-106.588450400,1601.3
35.034613100,-106.588696600,1597.3
35.033778000,-106.588996200,1598.3
35.032956700,-106.589348400,1598.1
35.032151300,-106.589752400,1597.1
35.031364100,-106.590207000,1591.0
35.030597200,-106.590711200,1588.1
35.029852800,-106.591263500,1584.3
35.029132700,-106.591862700,1581.5
35.028439100,-106.592507000,1579.5
35.027773900,-106.593194900,1578.8
35.027138800,-106.593924500,1576.4
35.026535700,-106.594693800,1574.8
35.025966300,-106.595500800,1574.5
35.025432200,-106.596343400,1573.6
35.024935000,-106.597219100,1571.8
35.024476000,-106.598125800,1570.1
35.024056500,-106.599060900,1570.0
35.023677900,-106.600021800,1571.5
35.023341200,-106.601005800,1571.0
35.023047300,-106.602010300,1571.4
35.022797100,-106.603032600,1573.1
35.022591500,-106.604069500,1570.7
35.022430800,-106.605118400,1568.9
35.022315800,-106.606176200,1571.0
35.022246600,-106.607240100,1570.3
35.022223500,-106.608306900,1570.9
35.022246600,-106.609373700,1576.0
35.022315800,-106.610437500,1579.2
35.022430900,-106.611495400,1577.7
35.022591500,-106.612544300,1579.0
35.022797100,-106.613581200,1582.1
35.023047300,-106.614603400,1601.5
35.023341200,-106.615607900,1591.9
35.023677900,-106.616592000,1607.3
35.024056500,-106.617552800,1610.8
35.024476000,-106.618487900,1609.2
35.024935000,-106.619394600,1604.9
35.025432200,-106.620270400,1609.1
35.025966300,-106.621113000,1614.8
35.026535700,-106.621920000,1616.6
35.027138700,-106.622689300,1617.4
35.027773800,-106.623418900,1618.6
35.028439100,-106.624106700,1618.4
35.029132700,-106.624751100,1618.4
35.029852700,-106.625350200,1618.7
35.030597200,-106.625902600,1618.7
35.031364200,-106.626406800,1618.4
35.032151300,-106.626861400,1618.4
35.032956600,-106.627265300,1617.7
35.033778000,-106.627617600,1615.8
35.034613100,-106.627917200,1606.6
35.035459700,-106.628163400,1601.3
35.036315500,-106.628355600,1603.8
35.037178200,-106.628493300,1596.4
35.038045700,-106.628576100,1584.8
35.038915400,-106.628603900,1583.3
35.039785200,-106.628576500,1585.5
35.040652600,-106.628494100,1594.5
35.041515400,-106.628356800,1593.0
35.042371300,-106.628165100,1588.4
35.043217900,-106.627919200,1586.5
35.044053100,-106.627620000,1585.2
35.044874600,-106.627268100,1592.4
35.045680000,-106.626864400,1603.2
35.046467300,-106.626410100,1596.4
35.047234400,-106.625906100,1599.3
35.047979000,-106.625354000,1604.7
35.048699200,-106.624755000,1609.7
35.049393000,-106.624110800,1611.0
35.050058400,-106.623423000,1604.2
35.050693700,-106.622693400,1605.6
35.051296900,-106.621924000,1610.8
35.051866500,-106.621117000,1604.7
35.052400700,-106.620274300,1602.1
35.052898200,-106.619398300,1596.1
35.053357300,-106.618491500,1596.6
35.053776900,-106.617556200,1598.5
35.054155700,-106.616595000,1606.1
35.054492500,-106.615610700,1612.7
35.054786500,-106.614605900,1616.2
35.055036700,-106.613583300,1618.5
35.055242500,-106.612546000,1620.7
35.055403200,-106.611496700,1622.6
35.055518300,-106.610438400,1622.7
35.055587500,-106.609374100,1622.8
35.055610600,-106.608306900,1622.9
35.072304000,-106.608306900,1600.7
35.072257800,-106.606171900,1607.0
35.072119400,-106.604042900,1611.8
35.071889200,-106.601926100,1612.5
35.071567700,-106.599827100,1610.6
35.071156200,-106.597752000,1605.7
35.070655600,-106.595706600,1603.7
35.070067500,-106.593696600,1603.3
35.069393600,-106.591727500,1604.6
35.068635900,-106.589804900,1605.8
35.067796700,-106.587934100,1607.3
35.066878200,-106.586120200,1609.1
35.065883200,-106.584368100,1610.8
35.064814500,-106.582682600,1612.9
35.063675200,-106.581068400,1614.8
35.062468600,-106.579529700,1616.5
35.061197900,-106.578070700,1618.3
35.059866800,-106.576695100,1619.6
35.058479100,-106.575406800,1619.8
35.057038500,-106.574208900,1621.7
35.055549100,-106.573104800,1625.0
35.054014900,-106.572097200,1631.4
35.052440100,-106.571188700,1633.3
35.050829100,-106.570381700,1634.3
35.049186100,-106.569678300,1634.5
35.047515700,-106.569080200,1634.6
35.045822300,-106.568588900,1634.1
35.044110400,-106.568205700,1632.7
35.042384700,-106.567931500,1631.8
35.040649800,-106.567767100,1631.8
35.038910300,-106.567712800,1630.2
35.037170800,-106.567768800,1624.8
35.035436000,-106.567935000,1613.6
35.033710500,-106.568210800,1613.5
35.031998900,-106.568595600,1600.0
35.030305800,-106.569088400,1594.4
35.028635700,-106.569687900,1589.2
35.026993300,-106.570392700,1591.4
35.025382700,-106.571200900,1590.6
35.023808500,-106.572110500,1592.8
35.022274900,-106.573119000,1600.1
35.020786000,-106.574224000,1611.6
35.019346100,-106.575422400,1620.2
35.017959000,-106.576711200,1620.4
35.016628700,-106.578087000,1618.3
35.015358700,-106.579546200,1617.8
35.014152700,-106.581084800,1618.4
35.013014200,-106.582698700,1619.3
35.011946200,-106.584383800,1618.5
35.010951800,-106.586135200,1619.3
35.010034000,-106.587948300,1617.8
35.009195300,-106.589818200,1617.2
35.008438100,-106.591739700,1617.2
35.007764800,-106.593707500,1616.9
35.007177100,-106.595716200,1616.6
35.006676900,-106.597760200,1616.0
35.006265700,-106.599833700,1615.4
35.005944500,-106.601931100,1615.6
35.005714400,-106.604046400,1615.3
35.005576100,-106.606173700,1615.4
35.005530000,-106.608306900,1615.5
35.005576100,-106.610440100,1614.4
35.005714400,-106.612567400,1613.8
35.005944500,-106.614682600,1614.1
35.006265600,-106.616780000,1613.9
35.006676900,-106.618853600,1613.7
35.007177100,-106.620897500,1608.6
35.007764800,-106.622906200,1581.4
35.008438100,-106.624874000,1550.9
35.009195300,-106.626795600,1542.5
35.010034000,-106.628665400,1540.8
35.010951800,-106.630478600,1545.7
35.011946200,-106.632230000,1555.5
35.013014200,-106.633915000,1573.1
35.014152700,-106.635529000,1593.6
35.015358700,-106.637067600,1609.1
35.016628700,-106.638526800,1590.6
35.017959000,-106.639902500,1567.0
35.019346100,-106.641191400,1558.4
35.020786000,-106.642389800,1546.7
35.022274900,-106.643494700,1539.0
35.023808500,-106.644503300,1530.9
35.025382700,-106.645412800,1526.5
35.026993300,-106.646221000,1520.7
35.028635700,-106.646925800,1509.5
35.030305800,-106.647525400,1510.2
35.031998900,-106.648018200,1508.1
35.033710500,-106.648403000,1506.3
35.035436000,-106.648678800,1506.1
35.037170800,-106.648844900,1506.2
35.038910300,-106.648900900,1507.0
35.040649800,-106.648846600,1507.3
35.042384700,-106.648682200,1507.5
35.044110400,-106.648408100,1507.7
35.045822300,-106.648024900,1507.9
35.047515700,-106.647533600,1508.2
35.049186200,-106.646935500,1508.4
35.050829100,-106.646232000,1508.7
35.052440100,-106.645425100,1509.0
35.054014900,-106.644516600,1510.4
35.055549100,-106.643509000,1519.1
35.057038500,-106.642404800,1519.5
35.058479100,-106.641207000,1522.2
35.059866800,-106.639918600,1526.8
35.061197900,-106.638543100,1528.3
35.062468600,-106.637084000,1536.9
35.063675200,-106.635545400,1548.0
35.064814500,-106.633931200,1548.1
35.065883200,-106.632245700,1557.2
35.066878200,-106.630493600,1557.6
35.067796700,-106.628679700,1561.8
35.068635900,-106.626808900,1560.8
35.069393600,-106.624886300,1568.4
35.070067500,-106.622917200,1571.1
35.070655600,-106.620907200,1572.8
35.071156200,-106.618861700,1575.2
35.071567700,-106.616786700,1578.3
35.071889100,-106.614687700,1584.4
35.072119400,-106.612570800,1591.5
35.072257800,-106.610441800,1594.8
35.072304000,-106.608306900,1600.7
35.088997400,-106.608306900,1580.4
35.088928100,-106.605103800,1582.1
35.088720400,-106.601909700,1584.8
35.088375000,-106.598733700,1585.6
35.087892800,-106.595584600,1588.3
35.087275300,-106.592471400,1591.2
35.086524300,-106.589402800,1594.8
35.085642000,-106.586387200,1598.1
35.084631000,-106.583433200,1602.2
35.083494300,-106.580548900,1607.8
35.082235100,-106.577742300,1611.2
35.080857200,-106.575021100,1614.3
35.079364400,-106.572392800,1618.7
35.077761200,-106.569864500,1621.1
35.076052000,-106.567443000,1624.2
35.074241700,-106.565134900,1628.7
35.072335500,-106.562946400,1632.2
35.070338600,-106.560883200,1634.7
35.068256800,-106.558950800,1636.7
35.066095600,-106.557154300,1638.9
35.063861200,-106.555498400,1641.5
35.061559700,-106.553987300,1643.7
35.059197300,-106.552625000,1645.5
35.056780600,-106.551415000,1647.2
35.054316000,-106.550360300,1647.6
35.051810200,-106.549463700,1648.7
35.049270000,-106.548727400,1648.5
35.046702100,-106.548153200,1647.6
35.044113600,-106.547742600,1646.4
35.041511200,-106.547496600,1646.6
35.038901800,-106.547415800,1645.3
35.036292700,-106.547500500,1643.6
35.033690400,-106.547750300,1641.1
35.031102300,-106.548164600,1636.5
35.028534900,-106.548742400,1615.4
35.025995500,-106.549482200,1609.7
35.023490500,-106.550382100,1610.0
35.021026900,-106.551439800,1618.6
35.018611300,-106.552652500,1632.7
35.016250100,-106.554017300,1631.3
35.013950000,-106.555530400,1630.5
35.011716900,-106.557188100,1629.4
35.009557300,-106.558986000,1627.9
35.007476900,-106.560919400,1626.6
35.005481600,-106.562983200,1625.1
35.003577000,-106.565172000,1623.9
35.001768300,-106.567479900,1623.1
35.000060700,-106.569900700,1622.0
34.998458900,-106.572428000,1619.9
34.996967600,-106.575055000,1618.8
34.995591100,-106.577774400,1616.3
34.994333300,-106.580578900,1615.3
34.993197800,-106.583460800,1613.8
34.992187900,-106.586412000,1613.2
34.991306600,-106.589424500,1612.8
34.990556400,-106.592490000,1612.5
34.989939600,-106.595599800,1611.2
34.989458000,-106.598745100,1610.1
34.989113000,-106.601917500,1610.1
