latitude,longitude,elevation
33.653397300,-84.427864000,303.0
33.653374200,-84.426814200,302.0
33.653305000,-84.425767400,301.0
33.653189800,-84.424726400,302.1
33.653029100,-84.423694300,300.8
33.652823200,-84.422674000,298.9
33.652572800,-84.421668200,298.0
33.652278700,-84.420679900,297.1
33.651941700,-84.419711600,296.2
33.651562800,-84.418766400,296.0
33.651143000,-84.417846500,294.9
33.650683700,-84.416954500,297.0
33.650186100,-84.416093000,296.9
33.649651600,-84.415264300,298.6
33.649081800,-84.414470500,298.3
33.648478500,-84.413714000,298.0
33.647843000,-84.412996500,299.3
33.647177400,-84.412320200,299.8
33.646483400,-84.411686600,300.4
33.645763100,-84.411097600,298.8
33.645018300,-84.410554600,295.2
33.644251200,-84.410059200,289.9
33.643463700,-84.409612400,289.8
33.642658100,-84.409215500,289.9
33.641836600,-84.408869500,289.1
33.641001300,-84.408575200,289.5
33.640154500,-84.408333500,289.4
33.639298600,-84.408144900,289.5
33.638435700,-84.408009900,289.5
33.637568200,-84.407928900,289.2
33.636698400,-84.407902000,297.8
33.635828600,-84.407929300,297.2
33.634961100,-84.408010700,294.9
33.634098300,-84.408146100,290.1
33.633242400,-84.408335100,282.2
33.632395700,-84.408577100,281.7
33.631560500,-84.408871700,285.6
33.630739100,-84.409218000,287.0
33.629933600,-84.409615200,289.5
33.629146300,-84.410062200,291.7
33.628379300,-84.410558000,291.3
33.627634600,-84.411101100,290.8
33.626914400,-84.411690300,288.2
33.626220700,-84.412323900,281.8
33.625555200,-84.413000300,277.9
33.624919900,-84.413717800,276.7
33.624316600,-84.414474400,274.4
33.623747000,-84.415268100,282.4
33.623212800,-84.416096700,282.7
33.622715300,-84.416958000,286.8
33.622256200,-84.417849800,290.4
33.621836500,-84.418769400,299.5
33.621457700,-84.419714500,298.3
33.621120800,-84.420682500,293.5
33.620826800,-84.421670500,293.1
33.620576500,-84.422675900,292.2
33.620370700,-84.423695900,289.8
33.620210100,-84.424727600,288.1
33.620094900,-84.425768200,282.6
33.620025700,-84.426814600,277.8
33.620002600,-84.427864000,282.0
33.620025700,-84.428913400,279.6
33.620094900,-84.429959800,283.6
33.620210100,-84.431000400,286.4
33.620370700,-84.432032100,290.7
33.620576500,-84.433052100,286.9
33.620826800,-84.434057500,287.9
33.621120800,-84.435045500,289.4
33.621457700,-84.436013500,291.2
33.621836500,-84.436958600,295.3
33.622256200,-84.437878200,297.1
33.622715300,-84.438770000,288.5
33.623212800,-84.439631300,290.0
33.623747000,-84.440459900,297.6
33.624316600,-84.441253600,295.7
33.624919900,-84.442010200,300.7
33.625555200,-84.442727700,299.2
33.626220700,-84.443404100,297.8
33.626914400,-84.444037700,297.7
