latitude,longitude,elevation
42.379644600,-71.006417000,0.0
42.379621600,-71.005235800,0.0
42.379552600,-71.004057800,0.0
42.379437800,-71.002886500,0.0
42.379277600,-71.001725200,0.0
42.379072400,-71.000576900,0.0
42.378822800,-70.999444900,0.1
42.378529600,-70.998332500,0.1
42.378193500,-70.997242600,0.0
42.377815700,-70.996178300,0.0
42.377397100,-70.995142600,0.2
42.376938900,-70.994138200,1.1
42.376442500,-70.993168000,2.9
42.375909300,-70.992234500,5.9
42.375340800,-70.991340400,7.2
42.374738600,-70.990488000,8.7
42.374104300,-70.989679500,9.2
42.373439800,-70.988917100,8.5
42.372746900,-70.988203100,7.6
42.372027500,-70.987539100,6.5
42.371283700,-70.986926900,5.5
42.370517400,-70.986368200,4.8
42.369730800,-70.985864400,3.9
42.368925900,-70.985416700,0.7
42.368105100,-70.985026500,0.0
42.367270400,-70.984694600,0.0
42.366424200,-70.984421900,0.0
42.365568700,-70.984209200,0.0
42.364706200,-70.984057000,0.0
42.363839200,-70.983965600,0.0
42.362969800,-70.983935300,0.0
42.362100400,-70.983966200,0.0
42.361233400,-70.984058200,0.0
42.360371000,-70.984211000,0.0
42.359515600,-70.984424300,0.0
42.358669500,-70.984697500,0.0
42.357835000,-70.985029900,0.0
42.357014300,-70.985420700,0.0
42.356209600,-70.985868700,0.0
42.355423100,-70.986373000,0.0
42.354657000,-70.986932100,0.0
42.353913300,-70.987544500,0.0
42.353194200,-70.988208700,0.0
42.352501500,-70.988923000,0.0
42.351837300,-70.989685400,0.0
42.351203200,-70.990493900,0.0
42.350601200,-70.991346300,0.0
42.350032900,-70.992240400,0.0
42.349499900,-70.993173600,0.0
42.349003800,-70.994143700,0.0
42.348545800,-70.995147700,0.0
42.348127400,-70.996183200,0.0
42.347749700,-70.997247000,0.0
42.347413800,-70.998336500,0.0
42.347120700,-70.999448400,0.0
42.346871300,-71.000579800,0.0
42.346666200,-71.001727600,0.0
42.346506100,-71.002888400,0.0
42.346391300,-71.004059100,0.0
42.346322400,-71.005236400,0.0
42.346299400,-71.006417000,0.0
42.346322400,-71.007597600,0.0
42.346391300,-71.008774900,0.0
42.346506100,-71.009945600,0.0
42.346666200,-71.011106400,0.0
42.346871300,-71.012254200,0.0
42.347120700,-71.013385600,0.0
42.347413800,-71.014497500,0.0
42.347749700,-71.015587000,0.0
42.348127400,-71.016650800,0.0
42.348545800,-71.017686300,0.0
42.349003800,-71.018690300,0.0
42.349499900,-71.019660400,0.0
42.350032900,-71.020593600,0.0
