latitude,longitude,elevation
42.229833600,-83.366661100,194.8
42.229810600,-83.365482700,194.8
42.229741600,-83.364307500,194.7
42.229626800,-83.363139000,194.6
42.229466600,-83.361980300,194.6
42.229261300,-83.360834700,194.5
42.229011800,-83.359705400,194.4
42.228718500,-83.358595600,194.2
42.228382500,-83.357508300,194.0
42.228004600,-83.356446500,193.8
42.227585900,-83.355413200,193.5
42.227127800,-83.354411300,193.4
42.226631400,-83.353443300,193.4
42.226098100,-83.352512000,193.5
42.225529500,-83.351620000,193.5
42.224927300,-83.350769600,194.0
42.224293100,-83.349963100,193.9
42.223628500,-83.349202600,196.0
42.222935600,-83.348490200,193.3
42.222216300,-83.347827800,193.3
42.221472400,-83.347217000,193.4
42.220706100,-83.346659600,193.4
42.219919400,-83.346157000,193.4
42.219114600,-83.345710500,193.2
42.218293700,-83.345321100,193.3
42.217459100,-83.344990100,193.4
42.216612800,-83.344718100,193.4
42.215757300,-83.344505800,193.1
42.214894800,-83.344354000,192.7
42.214027800,-83.344262800,192.2
42.213158400,-83.344232600,191.9
42.212289000,-83.344263400,191.9
42.211422000,-83.344355200,192.0
42.210559600,-83.344507700,192.1
42.209704200,-83.344720400,191.9
42.208858100,-83.344993000,192.4
42.208023500,-83.345324600,192.6
42.207202800,-83.345714400,192.6
42.206398100,-83.346161300,192.6
42.205611600,-83.346664400,192.7
42.204845400,-83.347222100,192.9
42.204101800,-83.347833100,193.3
42.203382600,-83.348495800,192.6
42.202690000,-83.349208300,191.9
42.202025700,-83.349968900,192.0
42.201391600,-83.350775500,192.8
42.200789600,-83.351625900,192.8
42.200221300,-83.352517800,192.7
42.199688300,-83.353448900,192.5
42.199192000,-83.354416700,192.4
42.198734100,-83.355418300,192.9
42.198315600,-83.356451300,193.3
42.197937900,-83.357512700,193.3
42.197602000,-83.358599500,193.1
42.197308900,-83.359708800,193.2
42.197059500,-83.360837600,193.3
42.196854400,-83.361982700,193.3
42.196694200,-83.363140700,192.6
42.196579500,-83.364308700,192.8
42.196510500,-83.365483200,192.7
42.196487500,-83.366661100,192.1
42.196510500,-83.367838900,192.6
42.196579500,-83.369013400,193.3
42.196694200,-83.370181400,193.4
42.196854400,-83.371339500,193.4
42.197059500,-83.372484500,193.3
42.197308900,-83.373613300,193.4
42.197602000,-83.374722600,193.6
42.197937900,-83.375809500,193.9
42.198315600,-83.376870800,194.4
42.198734100,-83.377903800,194.9
42.199192000,-83.378905500,195.5
42.199688200,-83.379873200,196.1
42.200221300,-83.380804300,195.7
42.200789600,-83.381696200,195.9
42.201391600,-83.382546700,196.1
42.202025700,-83.383353300,196.2
42.202690000,-83.384113800,196.4
42.203382600,-83.384826400,196.6
42.204101800,-83.385489000,195.6
42.204845400,-83.386100000,195.6
42.205611600,-83.386657700,196.3
42.206398100,-83.387160800,196.5
42.207202800,-83.387607800,196.5
42.208023500,-83.387997500,196.5
42.208858100,-83.388329200,196.5
42.209704200,-83.388601700,196.5
42.210559600,-83.388814500,196.8
42.211422000,-83.388966900,196.7
42.212289000,-83.389058700,196.5
42.213158400,-83.389089500,196.5
42.214027800,-83.389059300,196.5
42.214894800,-83.388968200,196.8
42.215757300,-83.388816300,197.0
42.216612800,-83.388604100,197.2
42.217459000,-83.388332100,197.3
42.218293700,-83.388001000,197.4
42.219114600,-83.387611700,197.6
42.219919400,-83.387165200,197.9
42.220706100,-83.386662500,198.0
42.221472400,-83.386105100,197.3
42.222216300,-83.385494400,196.8
42.222935600,-83.384832000,196.4
42.223628500,-83.384119600,196.5
42.224293100,-83.383359000,196.3
42.224927300,-83.382552600,196.2
42.225529600,-83.381702200,196.1
42.226098100,-83.380810100,196.2
42.226631400,-83.379878800,196.3
42.227127800,-83.378910900,196.4
42.227586000,-83.377908900,196.5
42.228004600,-83.376875600,196.3
42.228382500,-83.375813900,195.4
42.228718500,-83.374726600,195.1
42.229011800,-83.373616800,195.0
42.229261400,-83.372487400,194.9
42.229466600,-83.371341900,194.9
42.229626800,-83.370183200,194.9
42.229741600,-83.369014600,194.9
42.229810600,-83.367839500,194.9
42.229833600,-83.366661100,194.8
42.246506600,-83.366661100,196.5
42.246460500,-83.364303500,196.4
42.246322500,-83.361952700,196.1
42.246092800,-83.359614900,194.9
42.245772300,-83.357297000,194.9
42.245361800,-83.355005300,194.1
42.244862500,-83.352746300,193.5
42.244275800,-83.350526100,194.6
42.243603600,-83.348351100,193.4
42.242847600,-83.346227200,193.1
42.242010200,-83.344160300,193.4
42.241093600,-83.342156100,192.3
42.240100600,-83.340219900,193.2
42.239033900,-83.338357300,191.9
42.237896600,-83.336573100,192.9
42.236691900,-83.334872200,192.4
42.235423100,-83.333259100,192.1
42.234093800,-83.331738300,191.8
42.232707800,-83.330313700,191.6
42.231268800,-83.328989000,191.8
42.229780900,-83.327767900,191.6
42.228248100,-83.326653400,191.4
42.226674600,-83.325648600,191.0
42.225064700,-83.324755900,190.5
42.223422800,-83.323977700,190.6
42.221753300,-83.323316100,190.5
42.220060800,-83.322772600,190.3
42.218349800,-83.322348800,190.4
42.216624800,-83.322045700,190.7
42.214890600,-83.321864000,190.4
42.213151800,-83.321804200,190.3
42.211413000,-83.321866400,190.3
42.209679000,-83.322050500,190.4
42.207954300,-83.322356100,190.5
42.206243600,-83.322782200,190.5
42.204551500,-83.323327800,190.3
42.202882400,-83.323991600,190.3
42.201241200,-83.324771600,190.6
42.199631900,-83.325666000,190.7
42.198059100,-83.326672500,191.1
42.196527000,-83.327788300,191.2
42.195039900,-83.329010500,191.5
42.193601800,-83.330336100,191.8
42.192216600,-83.331761400,190.8
42.190888300,-83.333282600,191.5
42.189620400,-83.334895700,191.8
42.188416600,-83.336596500,191.2
42.187280200,-83.338380300,190.5
42.186214300,-83.340242400,191.8
42.185222200,-83.342177500,191.9
42.184306400,-83.344180700,191.7
42.183469700,-83.346246300,190.5
42.182714500,-83.348368600,190.8
42.182042900,-83.350541900,190.4
42.181456800,-83.352760100,191.5
42.180958000,-83.355017100,191.9
42.180547900,-83.357306600,193.8
42.180227700,-83.359622200,192.7
42.179998300,-83.361957500,192.2
42.179860400,-83.364306000,192.1
42.179814400,-83.366661100,192.0
42.179860400,-83.369016100,192.2
42.179998300,-83.371364600,192.4
42.180227700,-83.373699900,192.3
42.180547900,-83.376015600,195.8
42.180958000,-83.378305100,194.2
42.181456800,-83.380562100,193.2
42.182042900,-83.382780300,193.1
42.182714500,-83.384953500,193.4
42.183469800,-83.387075900,193.5
42.184306400,-83.389141400,194.6
42.185222200,-83.391144600,194.7
42.186214400,-83.393079800,194.9
42.187280200,-83.394941800,194.9
42.188416600,-83.396725700,195.6
42.189620400,-83.398426400,195.5
42.190888300,-83.400039600,198.2
42.192216600,-83.401560800,199.7
42.193601800,-83.402986100,199.8
42.195039900,-83.404311600,200.9
42.196527100,-83.405533900,201.3
42.198059100,-83.406649700,202.3
42.199631900,-83.407656100,202.6
42.201241200,-83.408550500,202.9
42.202882500,-83.409330600,203.1
42.204551500,-83.409994300,203.2
42.206243600,-83.410539900,202.6
42.207954300,-83.410966100,202.6
42.209679000,-83.411271600,203.1
42.211413000,-83.411455700,203.4
42.213151800,-83.411518000,203.5
42.214890600,-83.411458200,203.3
42.216624800,-83.411276500,202.6
42.218349800,-83.410973300,202.6
42.220060800,-83.410549500,202.7
42.221753300,-83.410006100,201.5
42.223422800,-83.409344400,201.6
42.225064700,-83.408566300,201.0
42.226674700,-83.407673500,202.2
42.228248100,-83.406668700,203.2
42.229780900,-83.405554200,203.5
42.231268800,-83.404333100,204.1
42.232707800,-83.403008400,204.2
42.234093800,-83.401583800,204.4
42.235423100,-83.400063000,202.1
42.236691900,-83.398449900,205.2
42.237896600,-83.396749000,202.5
42.239033900,-83.394964900,202.8
42.240100600,-83.393102200,203.0
42.241093600,-83.391166100,202.6
42.242010200,-83.389161800,202.6
42.242847600,-83.387094900,202.3
42.243603600,-83.384971000,201.3
42.244275800,-83.382796000,199.7
42.244862500,-83.380575900,198.9
42.245361800,-83.378316800,198.2
42.245772300,-83.376025100,198.0
42.246092900,-83.373707200,197.8
42.246322500,-83.371369500,196.8
42.246460500,-83.369018600,196.6
42.246506600,-83.366661100,196.5
42.263179500,-83.366661100,198.0
42.263110400,-83.363123900,198.9
42.262903300,-83.359596500,198.0
42.262558700,-83.356089100,197.4
42.262077800,-83.352611400,196.2
42.261461900,-83.349173000,195.0
42.260712700,-83.345783700,195.0
42.259832600,-83.342452700,194.9
42.258823900,-83.339189500,193.1
42.257689700,-83.336003100,193.4
42.256433300,-83.332902300,193.1
42.255058200,-83.329895500,192.1
42.253568300,-83.326991000,191.9
42.251967900,-83.324196700,190.8
42.250261600,-83.321520300,190.5
42.248454200,-83.318968900,190.5
42.246550700,-83.316549500,191.2
42.244556500,-83.314268300,191.7
42.242477100,-83.312131600,191.7
42.240318400,-83.310145000,191.3
42.238086100,-83.308313700,190.4
42.235786600,-83.306642500,191.9
42.233426100,-83.305135800,191.9
42.231011100,-83.303797400,190.2
42.228548000,-83.302630900,190.1
42.226043600,-83.301639200,190.1
42.223504700,-83.300824900,190.3
42.220937900,-83.300190000,189.1
42.218350400,-83.299736100,190.1
42.215749100,-83.299464500,188.9
42.213140900,-83.299375700,190.3
42.210532800,-83.299470000,189.9
42.207931700,-83.299747100,188.8
42.205344700,-83.300206300,190.4
42.202778900,-83.300846300,189.8
42.200240800,-83.301665600,189.7
42.197737500,-83.302661900,189.4
42.195275700,-83.303832800,190.3
42.192862000,-83.305175100,188.8
42.190503200,-83.306685300,189.6
42.188205400,-83.308359500,190.3
42.185975000,-83.310193300,189.4
42.183818100,-83.312181900,189.3
42.181740600,-83.314320100,187.9
42.179748500,-83.316602100,188.6
42.177847000,-83.319021900,188.7
42.176041700,-83.321573000,189.6
42.174337300,-83.324248600,190.3
42.172739000,-83.327041400,190.3
42.171251000,-83.329943800,190.3
42.169877700,-83.332948200,190.7
42.168622900,-83.336046000,191.1
42.167490300,-83.339229000,191.2
42.166483200,-83.342488200,191.0
42.165604300,-83.345814800,190.6
42.164856200,-83.349199600,190.6
42.164241200,-83.352633000,190.5
42.163761000,-83.356105600,191.1
42.163417000,-83.359607600,191.8
42.163210200,-83.363129400,191.8
42.163141200,-83.366661100,191.9
42.163210200,-83.370192800,191.9
42.163417000,-83.373714500,192.1
42.163761000,-83.377216500,191.9
42.164241200,-83.380689100,192.9
42.164856200,-83.384122600,191.9
42.165604300,-83.387507300,193.3
42.166483100,-83.390833900,192.7
42.167490300,-83.394093200,194.4
42.168622900,-83.397276100,194.8
42.169877700,-83.400374000,193.5
42.171251000,-83.403378300,194.2
42.172739000,-83.406280700,195.5
42.174337300,-83.409073500,195.7
42.176041600,-83.411749100,197.0
42.177847000,-83.414300200,198.6
42.179748500,-83.416720000,199.2
42.181740700,-83.419002000,198.1
42.183818100,-83.421140200,197.6
42.185975000,-83.423128800,188.9
42.188205400,-83.424962600,188.1
42.190503200,-83.426636900,194.9
42.192862000,-83.428147000,195.3
42.195275700,-83.429489300,185.2
42.197737500,-83.430660200,192.6
42.200240800,-83.431656500,197.9
42.202778900,-83.432475800,186.1
42.205344700,-83.433115800,185.9
42.207931700,-83.433575000,196.1
42.210532800,-83.433852100,186.7
42.213140900,-83.433946400,202.5
42.215749100,-83.433857600,201.6
42.218350400,-83.433586000,200.5
42.220937900,-83.433132200,202.0
42.223504700,-83.432497300,201.8
42.226043500,-83.431683000,204.2
42.228548000,-83.430691300,203.9
42.231011100,-83.429524700,205.4
42.233426100,-83.428186400,205.9
42.235786700,-83.426679600,205.9
42.238086100,-83.425008400,206.1
42.240318400,-83.423177100,204.4
42.242477100,-83.421190500,204.1
42.244556500,-83.419053800,202.7
42.246550700,-83.416772700,202.9
42.248454200,-83.414353200,202.6
42.250261600,-83.411801800,203.0
42.251967900,-83.409125400,202.3
42.253568300,-83.406331100,202.5
42.255058200,-83.403426600,201.9
42.256433300,-83.400419900,202.0
42.257689800,-83.397319000,202.4
42.258823900,-83.394132600,201.1
42.259832600,-83.390869400,201.4
42.260712700,-83.387538500,201.0
42.261461900,-83.384149100,201.2
42.262077800,-83.380710700,199.4
42.262558700,-83.377233000,198.2
42.262903300,-83.373725600,198.2
42.263110400,-83.370198200,199.0
42.263179500,-83.366661100,198.0
42.279852400,-83.366661100,197.6
42.279760200,-83.361943500,196.6
42.279484000,-83.357239300,195.7
42.279024500,-83.352561500,195.6
42.278383100,-83.347923300,196.5
42.277561600,-83.343337800,196.4
42.276562500,-83.338817500,197.8
42.275388700,-83.334375400,194.8
42.274043500,-83.330023600,194.6
42.272530900,-83.325774200,193.4
42.270855300,-83.321639100,192.1
42.269021300,-83.317629400,191.6
42.267034400,-83.313756400,190.4
42.264900200,-83.310030500,190.4
42.262624700,-83.306461700,190.8
42.260214300,-83.303059800,190.7
42.257675800,-83.299833800,188.8
42.255016400,-83.296792500,190.6
42.252243500,-83.293943900,190.4
42.249364700,-83.291295500,190.3
42.246388100,-83.288854400,189.7
42.243321600,-83.286626800,190.1
42.240174000,-83.284618600,190.2
42.236953600,-83.282835000,189.9
42.233669200,-83.281280600,189.9
42.230329700,-83.279959300,188.7
42.226944300,-83.278874700,190.1
42.223521800,-83.278029300,187.3
42.220071800,-83.277425400,188.3
42.216603200,-83.277064400,187.1
42.213125600,-83.276947300,186.0
42.209648100,-83.277074200,187.6
42.206180100,-83.277444900,188.0
42.202730900,-83.278058300,187.3
42.199309900,-83.278912900,187.0
42.195926000,-83.280006300,188.8
42.192588600,-83.281335800,187.2
42.189306500,-83.282897900,187.9
42.186088600,-83.284688400,188.5
42.182943700,-83.286702900,185.8
42.179880400,-83.288935800,187.3
42.176906900,-83.291381500,187.3
42.174031500,-83.294033400,188.8
42.171262100,-83.296884600,188.3
42.168606300,-83.299927500,188.5
42.166071500,-83.303153900,187.8
42.163664700,-83.306555300,187.4
42.161392700,-83.310122600,188.7
42.159262000,-83.313846000,188.8
42.157278500,-83.317715600,188.8
42.155447800,-83.321720700,188.7
42.153775200,-83.325850500,188.9
42.152265400,-83.330093600,188.7
42.150922800,-83.334438500,189.4
42.149751200,-83.338873000,189.3
42.148754100,-83.343384900,189.3
42.147934300,-83.347961700,190.3
42.147294200,-83.352590700,190.3
42.146835600,-83.357258900,190.3
42.146560000,-83.361953400,190.2
42.146468000,-83.366661100,189.0
42.146560000,-83.371368700,189.1
42.146835600,-83.376063200,188.0
42.147294200,-83.380731400,185.0
42.147934300,-83.385360400,184.5
42.148754100,-83.389937200,184.1
42.149751200,-83.394449200,192.0
42.150922800,-83.398883600,192.2
42.152265400,-83.403228500,192.2
42.153775200,-83.407471600,193.2
42.155447800,-83.411601500,195.2
42.157278500,-83.415606500,194.9
42.159262000,-83.419476100,200.2
42.161392800,-83.423199600,200.2
42.163664700,-83.426766800,200.7
42.166071400,-83.430168200,200.5
