latitude,longitude,elevation
30.510705600,-81.687833300,7.5
30.510682500,-81.686818500,7.4
30.510613200,-81.685806600,7.1
30.510497900,-81.684800400,6.9
30.510336900,-81.683802700,6.7
30.510130900,-81.682816400,6.4
30.509880200,-81.681844300,6.1
30.509585800,-81.680888900,5.9
30.509248400,-81.679953100,5.8
30.508869100,-81.679039400,5.8
30.508449000,-81.678150400,5.8
30.507989300,-81.677288500,5.8
30.507491300,-81.676456000,5.8
30.506956400,-81.675655100,5.8
30.506386300,-81.674888200,5.8
30.505782400,-81.674157100,5.9
30.505146600,-81.673463900,6.3
30.504480600,-81.672810500,7.1
30.503786300,-81.672198400,7.1
30.503065600,-81.671629400,7.1
30.502320500,-81.671104900,7.0
30.501553000,-81.670626200,6.8
30.500765300,-81.670194700,6.7
30.499959600,-81.669811300,6.5
30.499137800,-81.669477100,6.4
30.498302300,-81.669192900,6.3
30.497455400,-81.668959500,6.3
30.496599300,-81.668777300,6.2
30.495736200,-81.668646900,6.0
30.494868600,-81.668568600,5.9
30.493998600,-81.668542600,5.8
30.493128600,-81.668569000,5.8
30.492261000,-81.668647600,5.8
30.491397900,-81.668778300,5.9
30.490541900,-81.668960800,5.9
30.489695100,-81.669194600,5.9
30.488859700,-81.669479000,5.9
30.488038000,-81.669813500,5.8
30.487232300,-81.670197100,5.9
30.486444700,-81.670628900,5.9
30.485677300,-81.671107700,5.9
30.484932400,-81.671632400,5.8
30.484211800,-81.672201500,5.8
30.483517700,-81.672813600,5.8
30.482851800,-81.673467200,5.8
30.482216100,-81.674160400,5.8
30.481612400,-81.674891400,5.8
30.481042400,-81.675658300,5.8
30.480507700,-81.676459000,5.8
30.480009800,-81.677291500,5.8
30.479550200,-81.678153300,5.8
30.479130200,-81.679042100,5.8
30.478751000,-81.679955600,5.8
30.478413800,-81.680891200,5.8
30.478119400,-81.681846200,5.8
30.477868900,-81.682818000,5.7
30.477662900,-81.683804100,5.7
30.477502000,-81.684801400,5.7
30.477386800,-81.685807300,5.8
30.477317500,-81.686818800,5.8
30.477294300,-81.687833300,5.8
30.477317500,-81.688847800,5.8
30.477386800,-81.689859400,5.8
30.477502000,-81.690865300,5.8
30.477662900,-81.691862600,5.8
30.477868900,-81.692848600,5.8
30.478119500,-81.693820500,5.8
30.478413800,-81.694775500,5.8
30.478751000,-81.695711100,5.8
30.479130200,-81.696624600,5.9
30.479550300,-81.697513400,6.1
30.480009900,-81.698375200,6.2
30.480507700,-81.699207600,6.2
30.481042400,-81.700008300,6.3
30.481612400,-81.700775200,6.1
30.482216100,-81.701506300,5.9
30.482851800,-81.702199400,5.8
30.483517600,-81.702853000,5.8
30.484211800,-81.703465100,5.9
30.484932300,-81.704034200,6.2
30.485677400,-81.704558900,6.5
30.486444700,-81.705037800,6.2
30.487232300,-81.705469500,5.9
30.488038000,-81.705853200,5.9
30.488859700,-81.706187600,6.2
30.489695100,-81.706472100,6.3
30.490541900,-81.706705900,6.1
30.491397900,-81.706888300,5.8
30.492261000,-81.707019100,5.8
30.493128600,-81.707097700,5.8
30.493998600,-81.707124000,5.8
30.494868600,-81.707098000,5.8
30.495736200,-81.707019700,5.8
30.496599300,-81.706889300,5.8
30.497455400,-81.706707200,5.9
30.498302300,-81.706473700,5.8
30.499137800,-81.706189500,5.7
30.499959600,-81.705855300,5.2
30.500765300,-81.705472000,5.0
30.501553000,-81.705040400,5.2
30.502320500,-81.704561800,5.4
30.503065600,-81.704037300,5.6
30.503786300,-81.703468300,5.7
30.504480600,-81.702856200,5.7
30.505146600,-81.702202700,5.6
30.505782500,-81.701509500,5.6
30.506386300,-81.700778500,5.4
30.506956400,-81.700011600,5.0
30.507491300,-81.699210700,4.5
30.507989300,-81.698378200,4.2
30.508449000,-81.697516200,4.2
30.508869200,-81.696627200,4.5
30.509248400,-81.695713600,5.0
30.509585800,-81.694777800,5.5
30.509880200,-81.693822400,5.6
30.510130900,-81.692850300,6.4
30.510337000,-81.691863900,7.3
30.510497900,-81.690866300,7.3
30.510613200,-81.689860000,7.4
30.510682500,-81.688848200,7.5
30.510705600,-81.687833300,7.5
30.527411200,-81.687833300,4.7
30.527364900,-81.685803400,4.2
30.527226300,-81.683779100,3.1
30.526995600,-81.681766400,5.4
30.526673700,-81.679770700,5.7
30.526261500,-81.677797800,6.0
30.525760200,-81.675853300,5.7
30.525171200,-81.673942300,4.5
30.524496400,-81.672070500,4.3
30.523737700,-81.670242900,5.0
30.522897300,-81.668464700,5.9
30.521977700,-81.666740600,5.5
30.520981500,-81.665075400,4.7
30.519911700,-81.663473700,4.4
30.518771300,-81.661939700,5.8
30.517563400,-81.660477600,4.7
