latitude,longitude
40.92384,-79.90143
40.93209,-79.92074
40.94079,-79.94277
40.94764,-79.96184
40.95403,-79.98119
40.95994,-80.00081
40.96536,-80.02067
40.97473,-80.06104
40.97867,-80.08150
40.98210,-80.10213
40.98503,-80.12289
40.98745,-80.14376
40.98935,-80.16473
40.99074,-80.18577
40.99161,-80.20686
40.99197,-80.22797
40.99180,-80.24909
40.99112,-80.27019
40.98993,-80.29125
40.98821,-80.31224
40.98599,-80.33316
40.98325,-80.35396
40.98000,-80.37464
40.97625,-80.39516
40.97199,-80.41552
40.96724,-80.43568
40.96200,-80.45562
40.95627,-80.47533
40.95007,-80.49479
40.94338,-80.51396
40.93624,-80.53284
40.92863,-80.55141
40.91211,-80.58745
40.90323,-80.60490
40.89393,-80.62197
40.87409,-80.65486
40.86358,-80.67066
40.85270,-80.68600
40.84144,-80.70087
40.82983,-80.71525
40.81787,-80.72914
40.80558,-80.74251
40.79297,-80.75535
40.78005,-80.76765
40.76685,-80.77939
40.75336,-80.79057
40.73960,-80.80118
40.72560,-80.81119
40.71135,-80.82061
40.69689,-80.82942
40.68221,-80.83762
40.66735,-80.84520
40.65231,-80.85214
40.63710,-80.85845
40.62175,-80.86411
40.60627,-80.86912
40.59068,-80.87348
40.57498,-80.87719
40.55921,-80.88023
40.54337,-80.88261
40.52747,-80.88432
40.51155,-80.88537
40.49561,-80.88575
40.47966,-80.88546
40.46373,-80.88450
40.44783,-80.88288
40.43199,-80.88060
40.41620,-80.87766
40.40049,-80.87406
40.38488,-80.86981
40.36938,-80.86491
40.35401,-80.85937
40.33878,-80.85319
40.32371,-80.84638
40.31649,-80.84287
40.27357,-80.81844
40.25798,-80.80797
40.21687,-80.77577
40.20508,-80.76518
39.99834,-80.87433
39.98653,-80.85827
39.95294,-80.80764
39.94246,-80.79012
39.91301,-80.73535
39.90391,-80.71645
39.88688,-80.67789
39.87894,-80.65821
40.03035,-80.47751
40.02457,-80.45842
40.01926,-80.43910
40.01441,-80.41957
40.01005,-80.39985
40.00616,-80.37997
40.00275,-80.35994
39.99983,-80.33978
39.99739,-80.31951
39.99545,-80.29915
39.99400,-80.27873
39.99305,-80.25826
39.99259,-80.23775
39.99263,-80.21724
39.99316,-80.19674
39.99419,-80.17627
39.99571,-80.15586
39.99772,-80.13551
40.00023,-80.11526
40.00322,-80.09512
40.00670,-80.07511
40.01066,-80.05525
40.01510,-80.03556
40.02001,-80.01606
40.02539,-79.99677
40.03123,-79.97771
40.03754,-79.95889
40.04429,-79.94034
40.05149,-79.92208
40.05913,-79.90411
40.06719,-79.88647
40.07568,-79.86916
40.08459,-79.85220
40.09389,-79.83562
40.10360,-79.81942
40.11369,-79.80363
40.12416,-79.78826
40.13500,-79.77332
40.14619,-79.75883
40.15772,-79.74480
40.16959,-79.73126
40.18178,-79.71820
40.19428,-79.70565
40.20708,-79.69362
40.22016,-79.68211
40.23351,-79.67115
40.24712,-79.66074
40.26098,-79.65090
40.27506,-79.64162
40.28937,-79.63293
40.30387,-79.62484
40.31857,-79.61734
40.33344,-79.61045
40.34847,-79.60418
40.36364,-79.59853
40.37894,-79.59350
40.39435,-79.58911
40.40987,-79.58536
40.42546,-79.58226
40.44113,-79.57979
40.45684,-79.57798
40.47259,-79.57682
40.48837,-79.57631
40.50414,-79.57646
40.51990,-79.57726
40.53564,-79.57871
40.55133,-79.58082
40.56697,-79.58358
40.58253,-79.58699
40.59800,-79.59104
40.61336,-79.59574
40.62861,-79.60107
40.64371,-79.60704
40.65867,-79.61363
40.67345,-79.62085
40.68806,-79.62868
40.70247,-79.63712
40.71666,-79.64615
40.73064,-79.65578
40.74437,-79.66599
40.75785,-79.67677
40.77106,-79.68810
40.78860,-79.70423
40.79897,-79.71449
40.80914,-79.72511
40.81577,-79.73234
40.82576,-79.74376
40.83585,-79.75592
40.84568,-79.76845
40.85525,-79.78133
40.86965,-79.80216
40.87813,-79.81531
40.88635,-79.82876
40.89428,-79.84249
40.90744,-79.86703
40.91658,-79.88562
