latitude,longitude,elevation
41.740563400,-71.428055600,14.6	
41.740540300,-71.426886100,13.5	
41.740471300,-71.425719800,16.2	
41.740356500,-71.424560100,17.2	
41.740196200,-71.423410300,17.2
41.739991000,-71.422273300,18.0	
41.739741300,-71.421152600,18.0	
41.739448000,-71.420051200,15.5	
41.739112000,-71.418972200,13.7	
41.738734000,-71.417918600,13.3	
41.738315300,-71.416893100,11.7
41.737857100,-71.415898800,9.2	
41.737360600,-71.414938200,12.4	
41.736827300,-71.414014000,13.1	
41.736258700,-71.413128800,12.4	
41.735656300,-71.412284800,7.7	
41.735022000,-71.411484500,10.2	
41.734357500,-71.410729900,14.1	
41.733664500,-71.410022900,13.8	
41.732945000,-71.409365500,13.7	
41.732201100,-71.408759600,13.1	
41.731434700,-71.408206400,13.2	
41.730648000,-71.407707700,13.2	
41.729843100,-71.407264500,12.2	
41.729022200,-71.406878200,11.6	
41.728187500,-71.406549700,10.6	
41.727341200,-71.406279800,11.0	
41.726485800,-71.406069300,10.6	
41.725623300,-71.405918500,11.9	
41.724756200,-71.405828100,12.4	
41.723886700,-71.405798100,12.4	
41.723017300,-71.405828700,12.2	
41.722150300,-71.405919700,11.8	
41.721287800,-71.406071000,11.2	
41.720432500,-71.406282100,10.7	
41.719586300,-71.406552600,12.0	
41.718751700,-71.406881600,11.5	
41.717930900,-71.407268400,11.7	
41.717126200,-71.407711900,11.4	
41.716339600,-71.408211100,10.1	
41.715573500,-71.408764500,9.6	
41.714829700,-71.409370800,7.6	
41.714110500,-71.410028400,8.0	
41.713417700,-71.410735500,5.8	
41.712753400,-71.411490200,8.0	
41.712119300,-71.412290600,10.4	
41.711517200,-71.413134500,10.5	
41.710948800,-71.414019600,11.2	
41.710415700,-71.414943600,11.7	
41.709919400,-71.415903900,12.3	
41.709461400,-71.416898000,12.8	
41.709042900,-71.417923100,12.2	
41.708665100,-71.418976500,11.7	
41.708329100,-71.420055100,10.2	
41.708036000,-71.421156000,10.2	
41.707786500,-71.422276200,10.6	
41.707581300,-71.423412500,11.0	
41.707421100,-71.424561900,11.5	
41.707306400,-71.425721000,11.4	
41.707237400,-71.426886700,11.0	
41.707214400,-71.428055600,8.5	
41.707237400,-71.429224500,12.1	
41.707306400,-71.430390200,13.1	
41.707421100,-71.431549300,12.9	
41.707581300,-71.432698700,13.1	
41.707786500,-71.433835000,13.3	
41.708036000,-71.434955200,13.5	
41.708329100,-71.436056100,13.5	
41.708665100,-71.437134700,14.0	
41.709042900,-71.438188100,14.2	
41.709461400,-71.439213200,14.5	
41.709919400,-71.440207300,14.5	
41.710415700,-71.441167600,15.0	
41.710948800,-71.442091600,16.0	
41.711517200,-71.442976700,15.7	
41.712119300,-71.443820600,15.7	
41.712753400,-71.444621000,16.3	
41.713417700,-71.445375700,16.7	
41.714110500,-71.446082800,16.7	
41.714829700,-71.446740400,17.1	
41.715573500,-71.447346700,17.3	
41.716339600,-71.447900100,16.0	
41.717126200,-71.448399300,9.3	
41.717930900,-71.448842800,9.2	
41.718751700,-71.449229600,12.0	
41.719586300,-71.449558600,10.6	
41.720432500,-71.449829100,10.7	
41.721287800,-71.450040200,11.4	
41.722150300,-71.450191500,11.7	
41.723017300,-71.450282500,9.5	
41.723886700,-71.450313100,9.4	
41.724756200,-71.450283100,10.2	
41.725623300,-71.450192700,11.2	
41.726485800,-71.450041900,11.2	
41.727341200,-71.449831400,11.3	
41.728187500,-71.449561500,16.5	
41.729022200,-71.449233000,17.9	
41.729843100,-71.448846700,18.0	
41.730648000,-71.448403500,16.9	
41.731434700,-71.447904800,16.6	
41.732201100,-71.447351600,16.9	
41.732945000,-71.446745700,12.2	
41.733664500,-71.446088300,12.5	
41.734357500,-71.445381300,12.8	
41.735022000,-71.444626700,12.8	
41.735656300,-71.443826400,12.5	
41.736258700,-71.442982400,14.3	
41.736827300,-71.442097200,14.6	
41.737360600,-71.441173000,16.2	
41.737857100,-71.440212400,17.4	
