latitude,longitude,elevation
38.190765100,-85.736480700,147.6
38.190742100,-85.735369700,149.0
38.190672900,-85.734261800,149.6
38.190558000,-85.733160200,149.7
38.190397500,-85.732067800,149.4
38.190192000,-85.730988000,149.9
38.189942000,-85.729923400,149.4
38.189648300,-85.728877300,151.8
38.189311800,-85.727852500,152.2
38.188933400,-85.726851700,155.8
38.188514200,-85.725877800,155.9
38.188055500,-85.724933500,156.1
38.187558600,-85.724021400,156.0
38.187024700,-85.723143900,155.4
38.186455600,-85.722303400,154.9
38.185852800,-85.721502100,154.4
38.185218000,-85.720742300,153.5
38.184553000,-85.720025900,152.5
38.183859600,-85.719354800,149.9
38.183139600,-85.718730800,148.9
38.182395300,-85.718155600,148.1
38.181628700,-85.717630700,147.0
38.180841600,-85.717157300,146.5
38.180036400,-85.716736800,146.0
38.179215200,-85.716370200,145.7
38.178380300,-85.716058400,145.4
38.177533800,-85.715802200,145.0
38.176678000,-85.715602400,144.5
38.175815500,-85.715459400,144.2
38.174948100,-85.715373500,144.4
38.174078500,-85.715345000,144.2
38.173208900,-85.715374000,144.2
38.172341600,-85.715460400,143.9
38.171479100,-85.715603900,143.6
38.170623400,-85.715804200,143.6
38.169777000,-85.716060800,143.2
38.168942200,-85.716372900,142.7
38.168121200,-85.716740000,142.2
38.167316100,-85.717160800,142.0
38.166529200,-85.717634500,141.8
38.165762600,-85.718159800,141.5
38.165018500,-85.718735300,141.3
38.164298800,-85.719359400,140.8
38.163605600,-85.720030600,140.5
38.162940800,-85.720747000,140.3
38.162306100,-85.721506900,140.5
38.161703500,-85.722308200,140.5
38.161134600,-85.723148500,140.4
38.160600900,-85.724026000,140.2
38.160104200,-85.724938000,140.2
38.159645600,-85.725882000,139.9
38.159226600,-85.726855600,139.9
38.158848400,-85.727856000,139.9
38.158512000,-85.728880500,140.2
38.158218400,-85.729926300,140.5
38.157968600,-85.730990400,140.3
38.157763200,-85.732069800,140.2
38.157602700,-85.733161700,140.5
38.157487800,-85.734262800,140.2
38.157418700,-85.735370200,139.9
38.157395700,-85.736480700,139.3
38.157418700,-85.737591200,139.3
38.157487800,-85.738698600,138.5
38.157602700,-85.739799700,137.4
38.157763200,-85.740891600,137.8
38.157968600,-85.741971000,137.8
38.158218400,-85.743035100,137.5
38.158512000,-85.744080900,137.0
38.158848400,-85.745105400,139.1
38.159226600,-85.746105800,140.2
38.159645600,-85.747079400,140.2
38.160104200,-85.748023500,140.1
38.160601000,-85.748935500,140.2
38.161134600,-85.749812900,139.9
38.161703500,-85.750653200,139.3
38.162306100,-85.751454500,139.5
38.162940800,-85.752214400,139.9
38.163605600,-85.752930800,140.7
38.164298800,-85.753602000,141.5
38.165018500,-85.754226200,142.5
38.165762600,-85.754801600,143.3
38.166529200,-85.755326900,143.6
38.167316100,-85.755800600,143.9
38.168121200,-85.756221400,143.9
38.168942200,-85.756588500,144.6
38.169777000,-85.756900600,145.1
38.170623400,-85.757157200,144.7
38.171479100,-85.757357500,144.5
38.172341600,-85.757501000,144.6
38.173208900,-85.757587400,144.5
38.174078500,-85.757616400,144.6
38.174948100,-85.757587900,145.4
38.175815500,-85.757502000,145.0
38.176678000,-85.757359000,144.6
38.177533800,-85.757159200,144.4
38.178380300,-85.756903000,144.5
38.179215200,-85.756591300,145.0
38.180036400,-85.756224600,145.2
38.180841600,-85.755804100,144.9
38.181628700,-85.755330700,145.3
38.182395400,-85.754805800,145.0
38.183139600,-85.754230600,147.6
38.183859600,-85.753606600,148.5
38.184553000,-85.752935500,147.5
38.185218000,-85.752219100,145.5
38.185852800,-85.751459300,143.3
38.186455600,-85.750658100,143.3
38.187024700,-85.749817500,143.6
38.187558600,-85.748940000,143.6
38.188055500,-85.748027900,143.6
38.188514300,-85.747083600,143.6
38.188933400,-85.746109700,143.6
38.189311800,-85.745109000,143.6
38.189648300,-85.744084200,143.6
38.189942000,-85.743038000,143.9
38.190192000,-85.741973400,145.2
38.190397500,-85.740893600,145.4
38.190558000,-85.739801200,145.7
38.190673000,-85.738699600,147.1
38.190742100,-85.737591700,149.1
38.190765100,-85.736480700,147.6
38.207449800,-85.736480700,155.4
38.207403600,-85.734258200,153.8
38.207265400,-85.732042000,153.1
38.207035400,-85.729838200,154.4
38.206714400,-85.727653100,152.0
38.206303200,-85.725492800,151.3
38.205803200,-85.723363300,150.6
38.205215700,-85.721270600,150.0
38.204542600,-85.719220500,143.1
38.203785600,-85.717218800,144.1
38.202947100,-85.715270800,152.2
38.202029500,-85.713382000,158.3
38.201035300,-85.711557500,159.2
38.199967600,-85.709802400,158.2
38.198829100,-85.708121200,162.7
