latitude,longitude,elevation
48.700000000,-123.680394655,198.8
48.700000000,-123.660394655,129.6
48.700000000,-123.640394655,121.8
48.700000000,-123.620394655,110.0
48.700000000,-123.600394655,86.6
48.700000000,-123.580394655,86.7
48.700000000,-123.560394655,81.6
48.700000000,-123.540394655,0.0
48.700000000,-123.520394655,0.0
48.700000000,-123.500394655,0.0
48.700000000,-123.480394655,0.0
48.700000000,-123.460394655,0.0
48.700000000,-123.440394655,0.0
48.700000000,-123.420394655,0.0
48.700000000,-123.400394655,6.9
48.700000000,-123.380394655,0.0
48.700000000,-123.360394655,0.0
48.700000000,-123.340394655,0.0
48.700000000,-123.320394655,0.0
48.700000000,-123.300394655,6.3
48.700000000,-123.280394655,0.0
48.700000000,-123.260394655,0.0
48.700000000,-123.240394655,0.0
48.700000000,-123.220394655,0.0
48.700000000,-123.200394655,0.0
48.700000000,-123.180394655,0.0
48.700000000,-123.160394655,0.0
48.700000000,-123.140394655,0.0
48.700000000,-123.120394655,0.0
48.700000000,-123.100394655,0.0
48.700000000,-123.080394655,0.0
48.700000000,-123.060394655,11.9
48.700000000,-123.040394655,19.5
48.700000000,-123.020394655,61.1
48.700000000,-123.000394655,0.0
48.700000000,-122.980394655,0.0
48.700000000,-122.960394655,0.0
48.700000000,-122.940394655,30.2
48.700000000,-122.920394655,52.4
48.700000000,-122.900394655,21.3
48.700000000,-122.880394655,44.3
48.700000000,-122.860394655,315.9
48.700000000,-122.840394655,1.2
48.700000000,-122.820394655,0.0
48.700000000,-122.800394655,0.0
48.700000000,-122.780394655,0.0
48.700000000,-122.760394655,0.0
48.700000000,-122.740394655,0.0
48.700000000,-122.720394655,0.0
48.700000000,-122.700394655,0.0
48.700000000,-122.680394655,34.9
48.700000000,-122.660394655,0.0
48.700000000,-122.640394655,0.0
48.700000000,-122.620394655,7.6
48.700000000,-122.600394655,0.0
48.700000000,-122.580394655,0.0
48.700000000,-122.560394655,0.0
48.700000000,-122.540394655,0.0
48.700000000,-122.520394655,0.0
48.700000000,-122.500394655,0.7
48.700000000,-122.480394655,105.1
48.700000000,-122.460394655,127.0
48.700000000,-122.440394655,152.7
48.700000000,-122.420394655,215.8
48.700000000,-122.400394655,398.6
48.700000000,-122.380394655,380.4
48.700000000,-122.360394655,574.7
48.700000000,-122.340394655,318.9
48.700000000,-122.320394655,255.6
48.700000000,-122.300394655,95.0
48.700000000,-122.280394655,595.9
48.700000000,-122.260394655,823.0
48.700000000,-122.240394655,722.6
48.700000000,-122.220394655,486.9
48.700000000,-122.200394655,177.5
48.700000000,-122.180394655,99.8
48.700000000,-122.160394655,146.5
48.700000000,-122.140394655,449.0
48.700000000,-122.120394655,608.2
48.700000000,-122.100394655,543.2
48.700000000,-122.080394655,821.3
48.700000000,-122.060394655,861.9
48.700000000,-122.040394655,869.2
48.700000000,-122.020394655,963.5
48.700000000,-122.000394655,1390.2
48.700000000,-121.980394655,1663.4
48.700000000,-121.960394655,1412.4
48.700000000,-121.940394655,1319.0
48.700000000,-121.920394655,1213.3
48.700000000,-121.900394655,1014.8
48.700000000,-121.880394655,836.1
48.700000000,-121.860394655,1188.2
48.700000000,-121.840394655,1104.4
48.700000000,-121.820394655,1080.7
48.700000000,-121.800394655,1054.7
48.700000000,-121.780394655,1195.7
48.700000000,-121.760394655,884.9
48.700000000,-121.740394655,782.9
48.700000000,-121.720394655,709.1
48.700000000,-121.700394655,316.0
48.700000000,-121.680394655,226.1
48.700000000,-121.660394655,215.2
48.700000000,-121.640394655,937.5
48.700000000,-121.620394655,882.3
48.700000000,-121.600394655,1316.5
48.700000000,-121.580394655,510.5
48.700000000,-121.560394655,1381.4
48.700000000,-121.540394655,1540.1
48.700000000,-121.520394655,1407.6
48.700000000,-121.500394655,1408.1
48.700000000,-121.480394655,1225.0
48.700000000,-121.460394655,1339.8
48.700000000,-121.440394655,1425.0
48.700000000,-121.420394655,885.6
48.700000000,-121.400394655,1057.4
48.700000000,-121.380394655,1506.9
48.700000000,-121.360394655,1499.3
48.700000000,-121.340394655,1541.0
48.700000000,-121.320394655,797.8
48.700000000,-121.300394655,1184.4
48.700000000,-121.280394655,265.6
48.700000000,-121.260394655,1006.2
48.700000000,-121.240394655,1191.4
48.700000000,-121.220394655,583.4
48.700000000,-121.200394655,267.4
48.700000000,-121.180394655,525.2
48.700000000,-121.160394655,986.3
48.700000000,-121.140394655,707.6
48.700000000,-121.120394655,872.8
48.680000000,-123.680394655,226.5
48.680000000,-123.660394655,87.6
48.680000000,-123.640394655,106.9
48.680000000,-123.620394655,169.1
48.680000000,-123.600394655,96.4
48.680000000,-123.580394655,77.3
48.680000000,-123.560394655,108.7
48.680000000,-123.540394655,59.1
48.680000000,-123.520394655,0.0
48.680000000,-123.500394655,0.0
48.680000000,-123.480394655,16.0
48.680000000,-123.460394655,49.3
48.680000000,-123.440394655,51.1
48.680000000,-123.420394655,13.8
48.680000000,-123.400394655,0.0
48.680000000,-123.380394655,9.4
48.680000000,-123.360394655,0.0
48.680000000,-123.340394655,0.0
48.680000000,-123.320394655,2.4
48.680000000,-123.300394655,0.0
48.680000000,-123.280394655,0.0
48.680000000,-123.260394655,0.0
48.680000000,-123.240394655,0.0
48.680000000,-123.220394655,55.1
48.680000000,-123.200394655,0.0
48.680000000,-123.180394655,0.0
48.680000000,-123.160394655,0.0
48.680000000,-123.140394655,0.0
48.680000000,-123.120394655,0.0
48.680000000,-123.100394655,0.0
48.680000000,-123.080394655,0.0
48.680000000,-123.060394655,0.0
48.680000000,-123.040394655,83.5
48.680000000,-123.020394655,0.0
48.680000000,-123.000394655,0.0
48.680000000,-122.980394655,0.0
48.680000000,-122.960394655,46.6
48.680000000,-122.940394655,79.9
48.680000000,-122.920394655,59.0
48.680000000,-122.900394655,0.0
48.680000000,-122.880394655,24.4
48.680000000,-122.860394655,369.9
48.680000000,-122.840394655,690.5
48.680000000,-122.820394655,336.3
48.680000000,-122.800394655,-0.4
48.680000000,-122.780394655,0.0
48.680000000,-122.760394655,0.0
48.680000000,-122.740394655,0.0
48.680000000,-122.720394655,0.0
48.680000000,-122.700394655,0.0
48.680000000,-122.680394655,0.0
48.680000000,-122.660394655,376.4
48.680000000,-122.640394655,150.6
48.680000000,-122.620394655,0.0
48.680000000,-122.600394655,0.0
48.680000000,-122.580394655,0.0
48.680000000,-122.560394655,0.0
48.680000000,-122.540394655,0.0
48.680000000,-122.520394655,0.0
48.680000000,-122.500394655,-0.7
48.680000000,-122.480394655,270.1
48.680000000,-122.460394655,476.1
48.680000000,-122.440394655,461.4
48.680000000,-122.420394655,232.7
48.680000000,-122.400394655,241.9
48.680000000,-122.380394655,315.6
48.680000000,-122.360394655,657.4
48.680000000,-122.340394655,586.7
48.680000000,-122.320394655,182.3
48.680000000,-122.300394655,102.7
48.680000000,-122.280394655,95.0
48.680000000,-122.260394655,342.3
48.680000000,-122.240394655,462.0
48.680000000,-122.220394655,458.7
48.680000000,-122.200394655,93.8
48.680000000,-122.180394655,119.6
