latitude,longitude
48.7,-123.68039465547083
48.7,-123.66039465547084
48.7,-123.64039465547084
48.7,-123.62039465547085
48.7,-123.60039465547085
48.7,-123.58039465547085
48.7,-123.56039465547086
48.7,-123.54039465547086
48.7,-123.52039465547087
48.7,-123.50039465547087
48.7,-123.48039465547087
48.7,-123.46039465547088
48.7,-123.44039465547088
48.7,-123.42039465547089
48.7,-123.40039465547089
48.7,-123.38039465547089
48.7,-123.3603946554709
48.7,-123.3403946554709
48.7,-123.32039465547091
48.7,-123.30039465547091
48.7,-123.28039465547091
48.7,-123.26039465547092
48.7,-123.24039465547092
48.7,-123.22039465547093
48.7,-123.20039465547093
48.7,-123.18039465547093
48.7,-123.16039465547094
48.7,-123.14039465547094
48.7,-123.12039465547095
48.7,-123.10039465547095
48.7,-123.08039465547095
48.7,-123.06039465547096
48.7,-123.04039465547096
48.7,-123.02039465547097
48.7,-123.00039465547097
48.7,-122.98039465547097
48.7,-122.96039465547098
48.7,-122.94039465547098
48.7,-122.92039465547099
48.7,-122.90039465547099
48.7,-122.88039465547099
48.7,-122.860394655471
48.7,-122.840394655471
48.7,-122.82039465547101
48.7,-122.80039465547101
48.7,-122.78039465547101
48.7,-122.76039465547102
48.7,-122.74039465547102
48.7,-122.72039465547103
48.7,-122.70039465547103
48.7,-122.68039465547103
48.7,-122.66039465547104
48.7,-122.64039465547104
48.7,-122.62039465547105
48.7,-122.60039465547105
48.7,-122.58039465547105
48.7,-122.56039465547106
48.7,-122.54039465547106
48.7,-122.52039465547107
48.7,-122.50039465547107
48.7,-122.48039465547107
48.7,-122.46039465547108
48.7,-122.44039465547108
48.7,-122.42039465547109
48.7,-122.40039465547109
48.7,-122.38039465547109
48.7,-122.3603946554711
48.7,-122.3403946554711
48.7,-122.32039465547111
48.7,-122.30039465547111
48.7,-122.28039465547111
48.7,-122.26039465547112
48.7,-122.24039465547112
48.7,-122.22039465547113
48.7,-122.20039465547113
48.7,-122.18039465547113
48.7,-122.16039465547114
48.7,-122.14039465547114
48.7,-122.12039465547115
48.7,-122.10039465547115
48.7,-122.08039465547115
48.7,-122.06039465547116
48.7,-122.04039465547116
48.7,-122.02039465547116
48.7,-122.00039465547117
48.7,-121.98039465547117
48.7,-121.96039465547118
48.7,-121.94039465547118
48.7,-121.92039465547118
48.7,-121.90039465547119
48.7,-121.88039465547119
48.7,-121.8603946554712
48.7,-121.8403946554712
48.7,-121.8203946554712
48.7,-121.80039465547121
48.7,-121.78039465547121
48.7,-121.76039465547122
48.7,-121.74039465547122
48.7,-121.72039465547122
48.7,-121.70039465547123
48.7,-121.68039465547123
48.7,-121.66039465547124
48.7,-121.64039465547124
48.7,-121.62039465547124
48.7,-121.60039465547125
48.7,-121.58039465547125
48.7,-121.56039465547126
48.7,-121.54039465547126
48.7,-121.52039465547126
48.7,-121.50039465547127
48.7,-121.48039465547127
48.7,-121.46039465547128
48.7,-121.44039465547128
48.7,-121.42039465547128
48.7,-121.40039465547129
48.7,-121.38039465547129
48.7,-121.3603946554713
48.7,-121.3403946554713
48.7,-121.3203946554713
48.7,-121.30039465547131
48.7,-121.28039465547131
48.7,-121.26039465547132
48.7,-121.24039465547132
48.7,-121.22039465547132
48.7,-121.20039465547133
48.7,-121.18039465547133
48.7,-121.16039465547134
48.7,-121.14039465547134
48.7,-121.12039465547134
48.68,-123.68039465547083
48.68,-123.66039465547084
48.68,-123.64039465547084
48.68,-123.62039465547085
48.68,-123.60039465547085
48.68,-123.58039465547085
48.68,-123.56039465547086
48.68,-123.54039465547086
48.68,-123.52039465547087
48.68,-123.50039465547087
48.68,-123.48039465547087
48.68,-123.46039465547088
48.68,-123.44039465547088
48.68,-123.42039465547089
48.68,-123.40039465547089
48.68,-123.38039465547089
48.68,-123.3603946554709
48.68,-123.3403946554709
48.68,-123.32039465547091
48.68,-123.30039465547091
48.68,-123.28039465547091
48.68,-123.26039465547092
48.68,-123.24039465547092
48.68,-123.22039465547093
48.68,-123.20039465547093
48.68,-123.18039465547093
48.68,-123.16039465547094
48.68,-123.14039465547094
48.68,-123.12039465547095
48.68,-123.10039465547095
48.68,-123.08039465547095
48.68,-123.06039465547096
48.68,-123.04039465547096
48.68,-123.02039465547097
48.68,-123.00039465547097
48.68,-122.98039465547097
48.68,-122.96039465547098
48.68,-122.94039465547098
48.68,-122.92039465547099
48.68,-122.90039465547099
48.68,-122.88039465547099
48.68,-122.860394655471
48.68,-122.840394655471
48.68,-122.82039465547101
48.68,-122.80039465547101
48.68,-122.78039465547101
48.68,-122.76039465547102
48.68,-122.74039465547102
48.68,-122.72039465547103
48.68,-122.70039465547103
48.68,-122.68039465547103
48.68,-122.66039465547104
48.68,-122.64039465547104
48.68,-122.62039465547105
48.68,-122.60039465547105
48.68,-122.58039465547105
48.68,-122.56039465547106
48.68,-122.54039465547106
48.68,-122.52039465547107
48.68,-122.50039465547107
48.68,-122.48039465547107
48.68,-122.46039465547108
48.68,-122.44039465547108
48.68,-122.42039465547109
48.68,-122.40039465547109
48.68,-122.38039465547109
48.68,-122.3603946554711
48.68,-122.3403946554711
48.68,-122.32039465547111
48.68,-122.30039465547111
48.68,-122.28039465547111
48.68,-122.26039465547112
48.68,-122.24039465547112
48.68,-122.22039465547113
48.68,-122.20039465547113
48.68,-122.18039465547113
48.68,-122.16039465547114
48.68,-122.14039465547114
48.68,-122.12039465547115
48.68,-122.10039465547115
48.68,-122.08039465547115
48.68,-122.06039465547116
48.68,-122.04039465547116
48.68,-122.02039465547116
48.68,-122.00039465547117
48.68,-121.98039465547117
48.68,-121.96039465547118
48.68,-121.94039465547118
48.68,-121.92039465547118
48.68,-121.90039465547119
48.68,-121.88039465547119
48.68,-121.8603946554712
48.68,-121.8403946554712
48.68,-121.8203946554712
48.68,-121.80039465547121
48.68,-121.78039465547121
48.68,-121.76039465547122
48.68,-121.74039465547122
48.68,-121.72039465547122
48.68,-121.70039465547123
48.68,-121.68039465547123
48.68,-121.66039465547124
48.68,-121.64039465547124
48.68,-121.62039465547124
48.68,-121.60039465547125
48.68,-121.58039465547125
48.68,-121.56039465547126
48.68,-121.54039465547126
48.68,-121.52039465547126
48.68,-121.50039465547127
48.68,-121.48039465547127
48.68,-121.46039465547128
48.68,-121.44039465547128
48.68,-121.42039465547128
48.68,-121.40039465547129
48.68,-121.38039465547129
48.68,-121.3603946554713
48.68,-121.3403946554713
48.68,-121.3203946554713
48.68,-121.30039465547131
48.68,-121.28039465547131
48.68,-121.26039465547132
48.68,-121.24039465547132
48.68,-121.22039465547132
48.68,-121.20039465547133
48.68,-121.18039465547133
48.68,-121.16039465547134
48.68,-121.14039465547134
48.68,-121.12039465547134
48.66,-123.68039465547083
48.66,-123.66039465547084
48.66,-123.64039465547084
48.66,-123.62039465547085
48.66,-123.60039465547085
48.66,-123.58039465547085
48.66,-123.56039465547086
48.66,-123.54039465547086
48.66,-123.52039465547087
48.66,-123.50039465547087
48.66,-123.48039465547087
48.66,-123.46039465547088
48.66,-123.44039465547088
48.66,-123.42039465547089
48.66,-123.40039465547089
48.66,-123.38039465547089
48.66,-123.3603946554709
48.66,-123.3403946554709
48.66,-123.32039465547091
48.66,-123.30039465547091
48.66,-123.28039465547091
48.66,-123.26039465547092
48.66,-123.24039465547092
48.66,-123.22039465547093
48.66,-123.20039465547093
48.66,-123.18039465547093
48.66,-123.16039465547094
48.66,-123.14039465547094
48.66,-123.12039465547095
48.66,-123.10039465547095
48.66,-123.08039465547095
48.66,-123.06039465547096
48.66,-123.04039465547096
48.66,-123.02039465547097
48.66,-123.00039465547097
48.66,-122.98039465547097
48.66,-122.96039465547098
48.66,-122.94039465547098
48.66,-122.92039465547099
48.66,-122.90039465547099
48.66,-122.88039465547099
48.66,-122.860394655471
48.66,-122.840394655471
48.66,-122.82039465547101
48.66,-122.80039465547101
48.66,-122.78039465547101
48.66,-122.76039465547102
48.66,-122.74039465547102
48.66,-122.72039465547103
48.66,-122.70039465547103
48.66,-122.68039465547103
48.66,-122.66039465547104
48.66,-122.64039465547104
48.66,-122.62039465547105
48.66,-122.60039465547105
48.66,-122.58039465547105
48.66,-122.56039465547106
48.66,-122.54039465547106
48.66,-122.52039465547107
48.66,-122.50039465547107
48.66,-122.48039465547107
48.66,-122.46039465547108
48.66,-122.44039465547108
48.66,-122.42039465547109
48.66,-122.40039465547109
48.66,-122.38039465547109
48.66,-122.3603946554711
48.66,-122.3403946554711
48.66,-122.32039465547111
48.66,-122.30039465547111
48.66,-122.28039465547111
48.66,-122.26039465547112
48.66,-122.24039465547112
48.66,-122.22039465547113
48.66,-122.20039465547113
48.66,-122.18039465547113
48.66,-122.16039465547114
48.66,-122.14039465547114
48.66,-122.12039465547115
48.66,-122.10039465547115
48.66,-122.08039465547115
48.66,-122.06039465547116
48.66,-122.04039465547116
48.66,-122.02039465547116
48.66,-122.00039465547117
48.66,-121.98039465547117
48.66,-121.96039465547118
48.66,-121.94039465547118
48.66,-121.92039465547118
48.66,-121.90039465547119
48.66,-121.88039465547119
48.66,-121.8603946554712
48.66,-121.8403946554712
48.66,-121.8203946554712
48.66,-121.80039465547121
48.66,-121.78039465547121
48.66,-121.76039465547122
48.66,-121.74039465547122
48.66,-121.72039465547122
48.66,-121.70039465547123
48.66,-121.68039465547123
48.66,-121.66039465547124
48.66,-121.64039465547124
48.66,-121.62039465547124
48.66,-121.60039465547125
48.66,-121.58039465547125
48.66,-121.56039465547126
48.66,-121.54039465547126
48.66,-121.52039465547126
48.66,-121.50039465547127
48.66,-121.48039465547127
48.66,-121.46039465547128
48.66,-121.44039465547128
48.66,-121.42039465547128
48.66,-121.40039465547129
48.66,-121.38039465547129
48.66,-121.3603946554713
48.66,-121.3403946554713
48.66,-121.3203946554713
48.66,-121.30039465547131
48.66,-121.28039465547131
48.66,-121.26039465547132
48.66,-121.24039465547132
48.66,-121.22039465547132
48.66,-121.20039465547133
48.66,-121.18039465547133
48.66,-121.16039465547134
48.66,-121.14039465547134
48.66,-121.12039465547134
48.64,-123.68039465547083
48.64,-123.66039465547084
48.64,-123.64039465547084
48.64,-123.62039465547085
48.64,-123.60039465547085
48.64,-123.58039465547085
48.64,-123.56039465547086
48.64,-123.54039465547086
48.64,-123.52039465547087
48.64,-123.50039465547087
48.64,-123.48039465547087
48.64,-123.46039465547088
48.64,-123.44039465547088
48.64,-123.42039465547089
48.64,-123.40039465547089
48.64,-123.38039465547089
48.64,-123.3603946554709
48.64,-123.3403946554709
48.64,-123.32039465547091
48.64,-123.30039465547091
48.64,-123.28039465547091
48.64,-123.26039465547092
48.64,-123.24039465547092
48.64,-123.22039465547093
48.64,-123.20039465547093
48.64,-123.18039465547093
48.64,-123.16039465547094
48.64,-123.14039465547094
48.64,-123.12039465547095
48.64,-123.10039465547095
48.64,-123.08039465547095
48.64,-123.06039465547096
48.64,-123.04039465547096
48.64,-123.02039465547097
48.64,-123.00039465547097
48.64,-122.98039465547097
48.64,-122.96039465547098
48.64,-122.94039465547098
48.64,-122.92039465547099
48.64,-122.90039465547099
48.64,-122.88039465547099
48.64,-122.860394655471
48.64,-122.840394655471
48.64,-122.82039465547101
48.64,-122.80039465547101
48.64,-122.78039465547101
48.64,-122.76039465547102
48.64,-122.74039465547102
48.64,-122.72039465547103
48.64,-122.70039465547103
48.64,-122.68039465547103
48.64,-122.66039465547104
48.64,-122.64039465547104
48.64,-122.62039465547105
48.64,-122.60039465547105
48.64,-122.58039465547105
48.64,-122.56039465547106
48.64,-122.54039465547106
48.64,-122.52039465547107
48.64,-122.50039465547107
48.64,-122.48039465547107
48.64,-122.46039465547108
48.64,-122.44039465547108
48.64,-122.42039465547109
48.64,-122.40039465547109
48.64,-122.38039465547109
48.64,-122.3603946554711
48.64,-122.3403946554711
48.64,-122.32039465547111
48.64,-122.30039465547111
48.64,-122.28039465547111
48.64,-122.26039465547112
48.64,-122.24039465547112
48.64,-122.22039465547113
48.64,-122.20039465547113
48.64,-122.18039465547113
48.64,-122.16039465547114
48.64,-122.14039465547114
48.64,-122.12039465547115
48.64,-122.10039465547115
48.64,-122.08039465547115
48.64,-122.06039465547116
48.64,-122.04039465547116
48.64,-122.02039465547116
48.64,-122.00039465547117
48.64,-121.98039465547117
48.64,-121.96039465547118
48.64,-121.94039465547118
48.64,-121.92039465547118
48.64,-121.90039465547119
48.64,-121.88039465547119
48.64,-121.8603946554712
48.64,-121.8403946554712
48.64,-121.8203946554712
48.64,-121.80039465547121
48.64,-121.78039465547121
48.64,-121.76039465547122
48.64,-121.74039465547122
48.64,-121.72039465547122
48.64,-121.70039465547123
