latitude,longitude,elevation
38.765380300,-90.370002800,171.2
38.765357200,-90.368883000,170.4
38.765288100,-90.367766400,168.0
38.765173200,-90.366656000,166.5
38.765012700,-90.365555100,165.2
38.764807200,-90.364466600,163.7
38.764557400,-90.363393700,162.3
38.764263700,-90.362339200,162.3
38.763927300,-90.361306200,161.3
38.763548900,-90.360297500,159.5
38.763129900,-90.359315900,156.7
38.762671200,-90.358364100,157.9
38.762174300,-90.357444700,157.9
38.761640600,-90.356560200,160.5
38.761071500,-90.355713000,161.0
38.760468800,-90.354905300,161.6
38.759834000,-90.354139400,161.2
38.759169100,-90.353417300,161.5
38.758475800,-90.352740800,162.3
38.757756000,-90.352111800,165.2
38.757011800,-90.351532000,165.3
38.756245000,-90.351002800,166.7
38.755458100,-90.350525600,168.6
38.754652900,-90.350101700,169.9
38.753831800,-90.349732100,169.9
38.752996800,-90.349417800,173.9
38.752150500,-90.349159700,174.7
38.751294700,-90.348958200,175.7
38.750432100,-90.348814000,177.9
38.749564900,-90.348727500,173.3
38.748695300,-90.348698800,173.5
38.747825700,-90.348728000,172.7
38.746958500,-90.348815000,174.1
38.746096000,-90.348959700,173.9
38.745240300,-90.349161600,172.7
38.744394000,-90.349420300,173.1
38.743559100,-90.349735000,175.6
38.742738100,-90.350105000,173.3
38.741933100,-90.350529300,173.0
38.741146300,-90.351006800,171.5
38.740379800,-90.351536300,172.2
38.739635700,-90.352116400,170.8
38.738916100,-90.352745500,170.7
38.738223000,-90.353422100,170.2
38.737558200,-90.354144300,170.4
38.736923700,-90.354910300,169.3
38.736321100,-90.355717900,168.8
38.735752300,-90.356565000,169.1
38.735218800,-90.357449400,171.2
38.734722100,-90.358368600,172.3
38.734263600,-90.359320200,177.0
38.733844600,-90.360301600,178.4
38.733466500,-90.361309900,181.1
38.733130200,-90.362342500,183.6
38.732836700,-90.363396500,184.5
38.732586900,-90.364469100,185.0
38.732381500,-90.365557000,180.8
38.732221100,-90.366657600,179.0
38.732106200,-90.367767400,177.7
38.732037200,-90.368883500,176.5
38.732014100,-90.370002800,175.8
38.732037200,-90.371122100,175.9
38.732106200,-90.372238200,177.5
38.732221100,-90.373348000,174.5
38.732381500,-90.374448500,176.7
38.732586900,-90.375536500,178.0
38.732836700,-90.376609000,174.8
38.733130200,-90.377663000,170.1
38.733466500,-90.378695600,165.2
38.733844600,-90.379704000,165.1
38.734263500,-90.380685300,164.5
38.734722000,-90.381636900,163.4
38.735218800,-90.382556200,164.6
38.735752300,-90.383440500,166.3
38.736321100,-90.384287700,165.2
38.736923700,-90.385095300,165.3
38.737558300,-90.385861300,165.8
38.738223000,-90.386583500,166.9
38.738916200,-90.387260100,167.9
38.739635700,-90.387889200,170.9
38.740379800,-90.388469300,173.2
38.741146300,-90.388998700,175.4
38.741933100,-90.389476300,175.6
38.742738100,-90.389900500,171.6
38.743559200,-90.390270500,169.7
38.744394000,-90.390585300,170.5
38.745240300,-90.390843900,171.6
38.746096000,-90.391045800,173.5
38.746958500,-90.391190500,174.9
38.747825700,-90.391277600,177.6
38.748695300,-90.391306800,177.2
38.749564900,-90.391278100,173.4
38.750432100,-90.391191500,175.5
38.751294700,-90.391047400,175.6
38.752150500,-90.390845900,174.4
38.752996800,-90.390587700,173.5
38.753831700,-90.390273400,173.6
38.754652900,-90.389903900,172.1
38.755458100,-90.389479900,173.2
38.756245000,-90.389002800,174.6
38.757011700,-90.388473500,169.9
38.757756000,-90.387893700,170.0
38.758475700,-90.387264800,171.4
38.759169100,-90.386588300,167.9
38.759834000,-90.385866200,173.5
38.760468800,-90.385100300,182.2
38.761071600,-90.384292600,184.0
38.761640600,-90.383445400,183.7
38.762174300,-90.382560900,178.8
38.762671200,-90.381641500,177.5
38.763129900,-90.380689600,177.9
38.763549000,-90.379708000,181.5
38.763927300,-90.378699300,181.0
38.764263800,-90.377666300,182.5
