latitude,longitude,elevation
32.132780500,-110.941040000,783.1
32.132757400,-110.940007800,784.0
32.132688100,-110.938978500,785.1
32.132572900,-110.937955100,785.8
32.132412100,-110.936940400,786.9
32.132206100,-110.935937100,788.2
32.131955600,-110.934948300,789.3
32.131661300,-110.933976600,790.0
32.131324100,-110.933024700,792.1
32.130945000,-110.932095300,792.7
32.130525100,-110.931191000,792.9
32.130065500,-110.930314100,793.7
32.129567800,-110.929467200,794.4
32.129033100,-110.928652600,794.6
32.128463100,-110.927872200,794.7
32.127859600,-110.927128500,794.6
32.127223900,-110.926423300,795.0
32.126558100,-110.925758500,795.4
32.125864000,-110.925135700,795.5
32.125143400,-110.924556800,795.6
32.124398500,-110.924023100,795.7
32.123631200,-110.923536100,795.8
32.122843600,-110.923097000,796.2
32.122037900,-110.922706900,796.8
32.121216300,-110.922366800,797.9
32.120380900,-110.922077600,799.1
32.119534100,-110.921840100,801.7
32.118678000,-110.921654700,800.6
32.117815100,-110.921522100,798.9
32.116947500,-110.921442400,799.1
32.116077600,-110.921416000,800.0
32.115207700,-110.921442800,801.5
32.114340200,-110.921522800,802.8
32.113477300,-110.921655800,802.6
32.112621300,-110.921841500,802.0
32.111774500,-110.922079400,801.7
32.110939200,-110.922368900,802.1
32.110117700,-110.922709300,802.9
32.109312100,-110.923099600,804.6
32.108524700,-110.923539000,807.2
32.107757500,-110.924026200,809.4
32.107012700,-110.924560000,807.4
32.106292300,-110.925139100,804.0
32.105598300,-110.925762000,802.9
32.104932600,-110.926426900,802.6
32.104297200,-110.927132100,802.1
32.103693700,-110.927875800,801.8
32.103123900,-110.928656000,802.5
32.102589400,-110.929470600,802.5
32.102091800,-110.930317300,802.3
32.101632400,-110.931194000,802.5
32.101212600,-110.932098200,799.7
32.100833600,-110.933027400,798.6
32.100496500,-110.933979000,798.4
32.100202300,-110.934950400,797.3
32.099951900,-110.935938900,796.7
32.099746000,-110.936941800,796.1
32.099585200,-110.937956200,794.2
32.099470100,-110.938979300,793.0
32.099400800,-110.940008200,792.9
32.099377700,-110.941040000,792.5
32.099400800,-110.942071900,792.0
32.099470100,-110.943100800,791.6
32.099585200,-110.944123900,791.0
32.099746000,-110.945138200,790.3
32.099951900,-110.946141100,789.7
32.100202300,-110.947129700,789.2
32.100496500,-110.948101000,788.5
32.100833600,-110.949052700,787.9
32.101212600,-110.949981900,787.4
32.101632400,-110.950886000,787.0
32.102091800,-110.951762700,786.8
32.102589500,-110.952609500,786.9
32.103123900,-110.953424100,786.8
32.103693700,-110.954204300,785.8
32.104297200,-110.954948000,784.3
32.104932700,-110.955653200,783.6
32.105598300,-110.956318100,784.2
32.106292300,-110.956941000,784.4
32.107012600,-110.957520000,783.9
32.107757500,-110.958053900,783.6
32.108524700,-110.958541100,783.1
32.109312100,-110.958980500,782.4
32.110117700,-110.959370800,781.9
32.110939200,-110.959711200,781.2
32.111774500,-110.960000600,781.0
32.112621300,-110.960238500,780.6
32.113477300,-110.960424200,780.0
32.114340200,-110.960557300,779.1
32.115207700,-110.960637300,778.3
32.116077600,-110.960664100,778.0
