latitude,longitude,elevation
18.449640900,-69.667327900,16.8
18.449617700,-69.666404800,16.1
18.449548100,-69.665484200,16.4
18.449432400,-69.664569000,16.7
18.449270900,-69.663661600,16.8
18.449064100,-69.662764600,16.8
18.448812700,-69.661880400,16.0
18.448517300,-69.661011700,16.8
18.448178800,-69.660160800,16.2
18.447798400,-69.659330200,15.2
18.447377000,-69.658522000,14.4
18.446916000,-69.657738600,15.2
18.446416700,-69.656982100,16.5
18.445880600,-69.656254400,17.9
18.445309100,-69.655557600,17.5
18.444703900,-69.654893500,16.3
18.444066900,-69.654264100,15.9
18.443399700,-69.653670600,17.1
18.442704200,-69.653114900,17.2
18.441982400,-69.652598400,17.5
18.441236300,-69.652122300,17.3
18.440467900,-69.651687900,16.6
18.439679400,-69.651296200,16.8
18.438872800,-69.650948400,16.9
18.438050300,-69.650645200,15.8
18.437214300,-69.650387300,15.8
18.436366700,-69.650175500,17.1
18.435510100,-69.650010300,18.2
18.434646500,-69.649891900,17.4
18.433778400,-69.649820900,17.6
18.432908000,-69.649797200,18.1
18.432037600,-69.649821100,18.4
18.431169500,-69.649892300,19.1
18.430306000,-69.650010800,20.0
18.429449400,-69.650176200,20.5
18.428601800,-69.650388200,20.5
18.427765800,-69.650646200,22.0
18.426943400,-69.650949500,21.7
18.426136800,-69.651297500,21.8
18.425348400,-69.651689300,22.0
18.424580100,-69.652123700,22.0
18.423834000,-69.652599900,21.6
18.423112300,-69.653116500,21.5
18.422416900,-69.653672300,20.5
18.421749900,-69.654265700,20.1
18.421112800,-69.654895200,20.8
18.420507800,-69.655559300,20.6
18.419936400,-69.656256000,21.5
18.419400300,-69.656983600,21.6
18.418901100,-69.657740100,21.1
18.418440200,-69.658523500,21.7
18.418018900,-69.659331500,21.5
18.417638500,-69.660162100,22.0
18.417300100,-69.661012800,21.4
18.417004800,-69.661881400,20.6
18.416753300,-69.662765400,20.3
18.416546600,-69.663662300,18.0
18.416385100,-69.664569500,16.8
18.416269400,-69.665484600,16.9
18.416199900,-69.666405000,17.1
18.416176700,-69.667327900,17.6
18.416199900,-69.668250800,17.6
18.416269400,-69.669171200,16.5
18.416385100,-69.670086200,17.2
18.416546600,-69.670993500,15.5
18.416753300,-69.671890300,13.9
18.417004800,-69.672774400,13.5
18.417300100,-69.673642900,12.1
18.417638500,-69.674493700,9.6
18.418018900,-69.675324200,5.9
18.418440100,-69.676132200,1.9
18.418901100,-69.676915600,1.4
18.419400300,-69.677672100,0.0
18.419936400,-69.678399700,0.0
18.420507800,-69.679096500,0.0
18.421112800,-69.679760500,0.0
18.421749800,-69.680390100,0.0
18.422416900,-69.680983500,0.0
18.423112300,-69.681539200,0.0
18.423834000,-69.682055800,0.0
18.424580100,-69.682532000,0.0
18.425348300,-69.682966500,0.0
18.426136800,-69.683358200,0.0
18.426943400,-69.683706200,0.0
18.427765800,-69.684009600,0.0
18.428601800,-69.684267600,0.0
18.429449400,-69.684479600,0.0
18.430306000,-69.684645000,0.0
18.431169500,-69.684763500,0.0
18.432037600,-69.684834700,0.0
18.432908000,-69.684858500,0.0
18.433778400,-69.684834900,0.0
18.434646500,-69.684763800,0.0
18.435510100,-69.684645500,0.0
18.436366700,-69.684480200,0.0
18.437214300,-69.684268400,0.0
18.438050300,-69.684010600,0.0
18.438872800,-69.683707400,0.0
18.439679400,-69.683359500,0.0
18.440467900,-69.682967900,0.2
18.441236300,-69.682533500,0.5
18.441982500,-69.682057400,3.2
18.442704200,-69.681540800,5.8
18.443399700,-69.680985100,6.5
18.444066900,-69.680391700,7.9
18.444704000,-69.679762200,8.8
18.445309100,-69.679098100,7.8
18.445880500,-69.678401400,9.0
18.446416700,-69.677673700,9.9
18.446916100,-69.676917100,10.0
18.447377000,-69.676133700,11.8
18.447798400,-69.675325600,12.6
18.448178900,-69.674494900,13.1
18.448517300,-69.673644100,13.7
18.448812700,-69.672775400,15.1
18.449064100,-69.671891200,16.0
18.449270900,-69.670994200,16.1
18.449432400,-69.670086800,16.0
18.449548100,-69.669171500,15.5
18.449617700,-69.668251000,15.1
18.449640900,-69.667327900,16.8
18.466373000,-69.667327900,15.1
18.466326500,-69.665481400,15.4
18.466187400,-69.663640200,16.2
18.465956000,-69.661809600,14.7
18.465633000,-69.659994600,14.3
18.465219300,-69.658200300,14.1
18.464716300,-69.656432000,14.7
18.464125500,-69.654694400,15.3
18.463448600,-69.652992600,14.3
18.462687600,-69.651331100,15.4
18.461844800,-69.649714700,13.3
18.460922700,-69.648147700,12.2
18.459924000,-69.646634600,10.2
18.458851700,-69.645179300,10.8
18.457708700,-69.643785700,9.0
18.456498300,-69.642457600,11.0
18.455224100,-69.641198500,10.4
18.453889600,-69.640011700,9.4
18.452498600,-69.638900400,12.0
18.451054900,-69.637867300,11.6
18.449562700,-69.636915300,10.5
18.448025800,-69.636046500,9.7
18.446448600,-69.635263400,10.5
18.444835400,-69.634567800,10.0
18.443190400,-69.633961500,9.6
18.441518200,-69.633445900,8.1
18.439823200,-69.633022500,7.8
18.438109800,-69.632692100,1.7
18.436382800,-69.632455700,2.2
18.434646400,-69.632313700,0.3
18.432905600,-69.632266600,2.5
18.431164800,-69.632314400,5.1
