latitude,longitude,elevation
61.190792200,-149.998191700,30.7
61.190769300,-149.996386600,30.9
61.190700800,-149.994586700,30.3
61.190586800,-149.992796700,27.4
61.190427700,-149.991021600,26.0
61.190223900,-149.989266300,26.8
61.189976000,-149.987535900,25.1
61.189684600,-149.985834900,23.5
61.189350700,-149.984168100,23.2
61.188975000,-149.982540000,22.5
61.188558800,-149.980955200,23.8
61.188103100,-149.979418000,24.6
61.187609300,-149.977932700,24.1
61.187078600,-149.976503100,24.3
61.186512600,-149.975133400,24.0
61.185912900,-149.973827200,22.9
61.185281100,-149.972588100,21.2
61.184618900,-149.971419300,19.8
61.183928300,-149.970324200,19.8
61.183211100,-149.969305700,22.9
61.182469200,-149.968366300,21.5
61.181704700,-149.967508900,20.1
61.180919700,-149.966735500,19.8
61.180116400,-149.966048300,24.3
61.179296800,-149.965449200,19.8
61.178463400,-149.964939600,25.0
61.177618300,-149.964521000,26.4
61.176763900,-149.964194500,25.3
61.175902500,-149.963961000,25.5
61.175036300,-149.963821000,24.5
61.174167800,-149.963774900,25.1
61.173299300,-149.963822900,24.9
61.172433400,-149.963964700,25.3
61.171572000,-149.964200100,24.4
61.170717700,-149.964528400,23.9
61.169872800,-149.964948700,26.1
61.169039700,-149.965459800,24.1
61.168220400,-149.966060400,27.3
61.167417500,-149.966749000,27.8
61.166632800,-149.967523500,26.6
61.165868700,-149.968382100,27.3
61.165127200,-149.969322200,30.1
61.164410400,-149.970341500,35.1
61.163720200,-149.971437100,35.3
61.163058500,-149.972606100,35.5
61.162427100,-149.973845400,39.7
61.161827800,-149.975151500,38.2
61.161262300,-149.976520800,39.3
61.160732100,-149.977949900,38.4
61.160238700,-149.979434600,36.4
61.159783400,-149.980971000,37.1
61.159367600,-149.982554700,39.2
61.158992300,-149.984181600,44.9
61.158658700,-149.985847000,47.6
61.158367600,-149.987546500,44.3
61.158119900,-149.989275400,40.7
61.157916300,-149.991029000,36.7
61.157757300,-149.992802300,46.0
61.157643500,-149.994590400,46.7
61.157575000,-149.996388500,48.5
61.157552200,-149.998191700,47.2
61.157575000,-149.999994800,47.7
61.157643500,-150.001792900,40.0
