latitude,longitude,elevation
45.444719200,-75.640277800,89.7
45.444696200,-75.639034800,89.3
45.444627300,-75.637795200,87.4
45.444512600,-75.636562600,85.8
45.444352600,-75.635340500,89.2
45.444147600,-75.634132000,91.4
45.443898300,-75.632940700,87.0
45.443605400,-75.631770000,86.0
45.443269800,-75.630622900,87.1
45.442892300,-75.629502800,87.9
45.442474100,-75.628412600,87.7
45.442016300,-75.627355400,86.9
45.441520400,-75.626334100,85.9
45.440987600,-75.625351400,84.6
45.440419600,-75.624410100,83.9
45.439817700,-75.623512600,82.8
45.439183900,-75.622661400,81.6
45.438519900,-75.621858800,80.0
45.437827300,-75.621106800,79.7
45.437108400,-75.620407600,78.9
45.436364800,-75.619762900,78.0
45.435598900,-75.619174600,76.4
45.434812500,-75.618643900,76.3
45.434007900,-75.618172500,76.9
45.433187300,-75.617761500,76.9
45.432352800,-75.617411900,75.9
45.431506800,-75.617124800,75.7
45.430651500,-75.616900700,74.9
45.429789200,-75.616740400,74.0
45.428922300,-75.616644200,73.7
45.428053100,-75.616612300,72.9
45.427183900,-75.616644900,71.9
45.426317000,-75.616741800,71.0
45.425454800,-75.616902900,69.9
45.424599600,-75.617127600,69.9
45.423753700,-75.617415400,69.5
45.422919400,-75.617765500,65.9
45.422098900,-75.618177100,67.9
45.421294500,-75.618649100,69.9
45.420508400,-75.619180100,71.4
45.419742600,-75.619769000,72.7
45.418999300,-75.620414000,72.9
45.418280600,-75.621113400,71.8
45.417588300,-75.621865600,70.7
45.416924500,-75.622668300,69.7
45.416290900,-75.623519600,68.7
45.415689300,-75.624417000,67.2
45.415121500,-75.625358200,66.8
45.414589000,-75.626340700,66.9
45.414093300,-75.627361800,66.8
45.413635800,-75.628418600,68.0
45.413217800,-75.629508400,69.3
45.412840500,-75.630628100,69.9
45.412505000,-75.631774600,69.9
45.412212300,-75.632944900,69.9
45.411963100,-75.634135500,69.9
45.411758300,-75.635343300,69.9
45.411598300,-75.636564800,69.4
45.411483700,-75.637796700,67.5
45.411414900,-75.639035500,68.5
45.411391900,-75.640277800,69.9
45.411414900,-75.641520100,69.9
45.411483700,-75.642758900,69.9
45.411598300,-75.643990800,69.7
45.411758300,-75.645212300,68.9
45.411963100,-75.646420000,69.0
45.412212300,-75.647610700,68.4
45.412505000,-75.648780900,67.2
45.412840500,-75.649927500,66.9
45.413217800,-75.651047100,66.9
45.413635800,-75.652136900,66.9
45.414093300,-75.653193800,66.9
45.414589000,-75.654214800,66.8
45.415121500,-75.655197400,68.7
45.415689300,-75.656138500,68.9
45.416290900,-75.657036000,67.1
45.416924400,-75.657887200,63.9
45.417588300,-75.658690000,63.1
45.418280500,-75.659442100,61.9
45.418999300,-75.660141600,62.9
45.419742600,-75.660786600,61.9
45.420508400,-75.661375400,61.9
45.421294500,-75.661906500,60.9
45.422098900,-75.662378400,60.9
45.422919400,-75.662790000,59.9
45.423753700,-75.663140200,58.9
45.424599600,-75.663428000,58.9
45.425454800,-75.663652700,56.9
45.426317000,-75.663813700,57.9
45.427183900,-75.663910600,58.7
45.428053100,-75.663943200,58.7
45.428922300,-75.663911400,58.8
45.429789200,-75.663815200,58.9
45.430651500,-75.663654800,59.2
45.431506800,-75.663430800,59.3
45.432352800,-75.663143600,59.9
45.433187300,-75.662794100,59.9
45.434007900,-75.662383100,59.9
45.434812500,-75.661911700,59.9
45.435598900,-75.661381000,59.9
45.436364800,-75.660792600,59.9
45.437108400,-75.660147900,59.9
45.437827300,-75.659448700,59.9
45.438519900,-75.658696700,58.9
45.439183900,-75.657894200,59.6
45.439817700,-75.657043000,59.9
45.440419500,-75.656145500,60.9
45.440987600,-75.655204100,62.8
45.441520400,-75.654221400,64.1
45.442016400,-75.653200100,64.1
45.442474100,-75.652143000,64.9
45.442892300,-75.651052800,66.6
45.443269800,-75.649932600,67.9
45.443605400,-75.648785600,70.9
45.443898300,-75.647614800,81.1
45.444147600,-75.646423500,82.9
45.444352600,-75.645215100,86.0
